"group","type","sd"
"Genuine","sdc",199
"Genuine","sdc",233
"Genuine","sdc",194
"Genuine","sdc",249
"Genuine","sdc",160
"Genuine","sdc",314
"Genuine","sdc",190
"Genuine","sdc",156
"Genuine","sdc",184
"Genuine","sdc",305
"Genuine","sdc",220
"Genuine","sdc",238
"Genuine","sdc",422
"Genuine","sdc",95
"Genuine","sdc",84
"Genuine","sdc",503
"Genuine","sdc",395
"Genuine","sdc",486
"Genuine","sdc",151
"Genuine","sdc",385
"Genuine","sdc",240
"Genuine","sdc",256
"Genuine","sdc",166
"Genuine","sdc",340
"Genuine","sdc",279
"Genuine","sdc",251
"Genuine","sdc",259
"Genuine","sdc",169
"Genuine","sdc",168
"Genuine","sdc",87
"Genuine","sdc",586
"Genuine","sdc",166
"Genuine","sdc",132
"Genuine","sdc",686
"Genuine","sdc",276
"Genuine","sdc",212
"Genuine","sdc",91
"Genuine","sdc",219
"Genuine","sdc",405
"Genuine","sdc",259
"Genuine","sdc",142
"Genuine","sdc",227
"Genuine","sdc",116
"Genuine","sdc",624
"Genuine","sdc",113
"Genuine","sdc",317
"Genuine","sdc",230
"Genuine","sdc",80
"Genuine","sdc",190
"Genuine","sdc",397
"Genuine","sdc",114
"Genuine","sdc",76
"Genuine","sdc",459
"Genuine","sdc",268
"Genuine","sdc",297
"Genuine","sdc",102
"Genuine","sdc",133
"Genuine","sdc",217
"Genuine","sdc",366
"Genuine","sdc",163
"Genuine","sdc",137
"Genuine","sdc",74
"Genuine","sdc",169
"Genuine","sdc",220
"Genuine","sdc",309
"Genuine","sdc",159
"Genuine","sdc",126
"Genuine","sdc",179
"Genuine","sdc",158
"Genuine","sdc",228
"Genuine","sdc",292
"Genuine","sdc",188
"Genuine","sdc",291
"Genuine","sdc",125
"Genuine","sdc",133
"Genuine","sdc",316
"Genuine","sdc",106
"Genuine","sdc",169
"Genuine","sdc",532
"Genuine","sdc",305
"Genuine","sdc",74
"Genuine","sdc",159
"Genuine","sdc",88
"Genuine","sdc",88
"Genuine","sdc",104
"Genuine","sdc",152
"Genuine","sdc",93
"Genuine","sdc",213
"Genuine","sdc",169
"Genuine","sdc",301
"Genuine","sdc",214
"Genuine","sdc",215
"Genuine","sdc",175
"Genuine","sdc",72
"Genuine","sdc",307
"Genuine","sdc",236
"Genuine","sdc",290
"Genuine","sdc",207
"Genuine","sdc",757
"Genuine","sdc",291
"Genuine","sdc",340
"Genuine","sdc",294
"Genuine","sdc",105
"Genuine","sdc",207
"Genuine","sdc",116
"Genuine","sdc",1318
"Genuine","sdc",269
"Genuine","sdc",233
"Genuine","sdc",107
"Genuine","sdc",219
"Genuine","sdc",124
"Genuine","sdc",393
"Genuine","sdc",387
"Genuine","sdc",553
"Genuine","sdc",350
"Genuine","sdc",292
"Genuine","sdc",147
"Genuine","sdc",233
"Genuine","sdc",323
"Genuine","sdc",326
"Genuine","sdc",296
"Genuine","sdc",166
"Genuine","sdc",208
"Genuine","sdc",100
"Genuine","sdc",79
"Genuine","sdc",312
"Genuine","sdc",137
"Genuine","sdc",79
"Genuine","sdc",136
"Genuine","sdc",334
"Genuine","sdc",152
"Genuine","sdc",148
"Genuine","sdc",69
"Genuine","sdc",176
"Genuine","sdc",135
"Genuine","sdc",234
"Genuine","sdc",230
"Genuine","sdc",227
"Genuine","sdc",79
"Genuine","sdc",292
"Genuine","sdc",86
"Genuine","sdc",220
"Genuine","sdc",491
"Genuine","sdc",165
"Genuine","sdc",677
"Genuine","sdc",95
"Genuine","sdc",383
"Genuine","sdc",109
"Genuine","sdc",75
"Genuine","sdc",192
"Genuine","sdc",291
"Genuine","sdc",219
"Genuine","sdc",243
"Genuine","sdc",109
"Genuine","sdc",262
"Genuine","sdc",802
"Genuine","sdc",172
"Genuine","sdc",385
"Genuine","sdc",93
"Genuine","sdc",47
"Genuine","sdc",237
"Genuine","sdc",102
"Genuine","sdc",204
"Genuine","sdc",108
"Genuine","sdc",82
"Genuine","sdc",142
"Genuine","sdc",100
"Genuine","sdc",320
"Genuine","sdc",165
"Genuine","sdc",142
"Genuine","sdc",293
"Genuine","sdc",131
"Genuine","sdc",482
"Genuine","sdc",187
"Genuine","sdc",840
"Genuine","sdc",230
"Genuine","sdc",110
"Genuine","sdc",255
"Genuine","sdc",232
"Genuine","sdc",165
"Genuine","sdc",576
"Genuine","sdc",296
"Genuine","sdc",503
"Genuine","sdc",462
"Genuine","sdc",65
"Genuine","sdc",126
"Genuine","sdc",294
"Genuine","sdc",266
"Genuine","sdc",157
"Genuine","sdc",206
"Genuine","sdc",401
"Genuine","sdc",80
"Genuine","sdc",72
"Genuine","sdc",150
"Genuine","sdc",298
"Genuine","sdc",171
"Genuine","sdc",166
"Genuine","sdc",254
"Genuine","sdc",282
"Genuine","sdc",146
"Genuine","sdc",87
"Genuine","sdc",199
"Genuine","sdc",154
"Genuine","sdc",345
"Genuine","sdc",326
"Genuine","sdc",186
"Genuine","sdc",82
"Genuine","sdc",83
"Genuine","sdc",351
"Genuine","sdc",192
"Genuine","sdc",253
"Genuine","sdc",388
"Genuine","sdc",506
"Genuine","sdc",490
"Genuine","sdc",116
"Genuine","sdc",143
"Genuine","sdc",229
"Genuine","sdc",194
"Genuine","sdc",108
"Genuine","sdc",248
"Genuine","sdc",285
"Genuine","sdc",153
"Genuine","sdc",166
"Genuine","sdc",916
"Genuine","sdc",187
"Genuine","sdc",95
"Genuine","sdc",91
"Genuine","sdc",366
"Genuine","sdc",177
"Genuine","sdc",328
"Genuine","sdc",217
"Genuine","sdc",223
"Genuine","sdc",65
"Genuine","sdc",308
"Genuine","sdc",523
"Genuine","sdc",159
"Genuine","sdc",197
"Genuine","sdc",154
"Genuine","sdc",95
"Genuine","sdc",143
"Genuine","sdc",198
"Genuine","sdc",94
"Genuine","sdc",182
"Genuine","sdc",67
"Genuine","sdc",146
"Genuine","sdc",199
"Genuine","sdc",229
"Genuine","sdc",230
"Genuine","sdc",98
"Genuine","sdc",1935
"Genuine","sdc",275
"Genuine","sdc",80
"Genuine","sdc",74
"Genuine","sdc",206
"Genuine","sdc",592
"Genuine","sdc",227
"Genuine","sdc",122
"Genuine","sdc",164
"Genuine","sdc",222
"Genuine","sdc",548
"Genuine","sdc",71
"Genuine","sdc",202
"Genuine","sdc",164
"Genuine","sdc",191
"Genuine","sdc",102
"Genuine","sdc",287
"Genuine","sdc",100
"Genuine","sdc",80
"Genuine","sdc",109
"Genuine","sdc",106
"Genuine","sdc",379
"Genuine","sdc",102
"Genuine","sdc",174
"Genuine","sdc",105
"Genuine","sdc",416
"Genuine","sdc",139
"Genuine","sdc",72
"Genuine","sdc",82
"Genuine","sdc",72
"Genuine","sdc",91
"Genuine","sdc",311
"Genuine","sdc",254
"Genuine","sdc",156
"Genuine","sdc",73
"Genuine","sdc",190
"Genuine","sdc",292
"Genuine","sdc",169
"Genuine","sdc",112
"Genuine","sdc",176
"Genuine","sdc",381
"Genuine","sdc",185
"Genuine","sdc",105
"Genuine","sdc",70
"Genuine","sdc",78
"Genuine","sdc",175
"Genuine","sdc",123
"Genuine","sdc",294
"Genuine","sdc",234
"Genuine","sdc",272
"Genuine","sdc",216
"Genuine","sdc",100
"Genuine","sdc",62
"Genuine","sdc",81
"Genuine","sdc",96
"Genuine","sdc",211
"Genuine","sdc",105
"Genuine","sdc",227
"Genuine","sdc",88
"Genuine","sdc",172
"Genuine","sdc",659
"Genuine","sdc",115
"Genuine","sdc",142
"Genuine","sdc",251
"Genuine","sdc",101
"Genuine","sdc",169
"Genuine","sdc",86
"Genuine","sdc",65
"Genuine","sdc",62
"Genuine","sdc",362
"Genuine","sdc",196
"Genuine","sdc",233
"Genuine","sdc",204
"Genuine","sdc",274
"Genuine","sdc",154
"Genuine","sdc",164
"Genuine","sdc",208
"Genuine","sdc",179
"Genuine","sdc",111
"Genuine","sdc",224
"Genuine","sdc",106
"Genuine","sdc",89
"Genuine","sdc",150
"Genuine","sdc",153
"Genuine","sdc",166
"Genuine","sdc",113
"Genuine","sdc",168
"Genuine","sdc",211
"Genuine","sdc",129
"Genuine","sdc",63
"Genuine","sdc",146
"Genuine","sdc",136
"Genuine","sdc",325
"Genuine","sdc",297
"Genuine","sdc",225
"Genuine","sdc",158
"Genuine","sdc",372
"Genuine","sdc",291
"Genuine","sdc",144
"Genuine","sdc",517
"Genuine","sdc",72
"Genuine","sdc",185
"Genuine","sdc",209
"Genuine","sdc",291
"Genuine","sdc",154
"Genuine","sdc",382
"Genuine","sdc",88
"Genuine","sdc",123
"Genuine","sdc",86
"Genuine","sdc",121
"Genuine","sdc",145
"Genuine","sdc",96
"Genuine","sdc",213
"Genuine","sdc",247
"Genuine","sdc",99
"Genuine","sdc",181
"Genuine","sdc",172
"Genuine","sdc",186
"Genuine","sdc",270
"Genuine","sdc",134
"Genuine","sdc",277
"Genuine","sdc",234
"Genuine","sdc",75
"Genuine","sdc",98
"Genuine","sdc",138
"Genuine","sdc",149
"Genuine","sdc",215
"Genuine","sdc",192
"Genuine","sdc",68
"Genuine","sdc",288
"Genuine","sdc",79
"Genuine","sdc",136
"Genuine","sdc",188
"Genuine","sdc",112
"Genuine","sdc",437
"Genuine","sdc",296
"Genuine","sdc",397
"Genuine","sdc",182
"Genuine","sdc",110
"Genuine","sdc",333
"Genuine","sdc",624
"Genuine","sdc",982
"Genuine","sdc",249
"Genuine","sdc",57
"Genuine","sdc",236
"Genuine","sdc",286
"Genuine","sdc",416
"Genuine","sdc",307
"Genuine","sdc",175
"Genuine","sdc",156
"Genuine","sdc",119
"Genuine","sdc",167
"Genuine","sdc",95
"Genuine","sdc",198
"Genuine","sdc",243
"Genuine","sdc",91
"Genuine","sdc",132
"Genuine","sdc",390
"Genuine","sdc",144
"Genuine","sdc",180
"Genuine","sdc",244
"Genuine","sdc",339
"Genuine","sdc",210
"Genuine","sdc",278
"Genuine","sdc",204
"Genuine","sdc",79
"Genuine","sdc",69
"Genuine","sdc",76
"Genuine","sdc",762
"Genuine","sdc",586
"Genuine","sdc",313
"Genuine","sdc",307
"Genuine","sdc",96
"Genuine","sdc",368
"Genuine","sdc",51
"Genuine","sdc",196
"Genuine","sdc",52
"Genuine","sdc",189
"Genuine","sdc",411
"Genuine","sdc",303
"Genuine","sdc",304
"Genuine","sdc",230
"Genuine","sdc",389
"Genuine","sdc",535
"Genuine","sdc",278
"Genuine","sdc",309
"Genuine","sdc",332
"Genuine","sdc",173
"Genuine","sdc",154
"Genuine","sdc",221
"Genuine","sdc",88
"Genuine","sdc",215
"Genuine","sdc",527
"Genuine","sdc",90
"Genuine","sdc",165
"Genuine","sdc",84
"Genuine","sdc",589
"Genuine","sdc",206
"Genuine","sdc",297
"Genuine","sdc",60
"Genuine","sdc",240
"Genuine","sdc",100
"Genuine","sdc",73
"Genuine","sdc",118
"Genuine","sdc",79
"Genuine","sdc",224
"Genuine","sdc",88
"Genuine","sdc",505
"Genuine","sdc",265
"Genuine","sdc",137
"Genuine","sdc",132
"Genuine","sdc",103
"Genuine","sdc",224
"Genuine","sdc",162
"Genuine","sdc",130
"Genuine","sdc",288
"Genuine","sdc",102
"Genuine","sdc",162
"Genuine","sdc",287
"Genuine","sdc",171
"Genuine","sdc",232
"Genuine","sdc",116
"Genuine","sdc",296
"Genuine","sdc",184
"Genuine","sdc",336
"Genuine","sdc",205
"Genuine","sdc",196
"Genuine","sdc",100
"Genuine","sdc",298
"Genuine","sdc",230
"Genuine","sdc",124
"Genuine","sdc",431
"Genuine","sdc",175
"Genuine","sdc",231
"Genuine","sdc",227
"Genuine","sdc",163
"Genuine","sdc",226
"Genuine","sdc",312
"Genuine","sdc",99
"Genuine","sdc",499
"Genuine","sdc",698
"Genuine","sdc",240
"Genuine","sdc",157
"Genuine","sdc",223
"Genuine","sdc",1072
"Genuine","sdc",180
"Genuine","sdc",113
"Genuine","sdc",185
"Genuine","sdc",102
"Genuine","sdc",50
"Genuine","sdc",194
"Genuine","sdc",642
"Genuine","sdc",235
"Genuine","sdc",168
"Genuine","sdc",67
"Genuine","sdc",191
"Genuine","sdc",333
"Genuine","sdc",184
"Genuine","sdc",231
"Genuine","sdc",627
"Genuine","sdc",78
"Genuine","sdc",233
"Genuine","sdc",977
"Genuine","sdc",101
"Genuine","sdc",186
"Genuine","sdc",334
"Genuine","sdc",309
"Genuine","sdc",288
"Genuine","sdc",273
"Genuine","sdc",241
"Genuine","sdc",209
"Genuine","sdc",127
"Genuine","sdc",325
"Genuine","sdc",289
"Genuine","sdc",261
"Genuine","sdc",288
"Genuine","sdc",305
"Genuine","sdc",1654
"Genuine","sdc",216
"Genuine","sdc",76
"Genuine","sdc",166
"Genuine","sdc",273
"Genuine","sdc",354
"Genuine","sdc",151
"Genuine","sdc",341
"Genuine","sdc",136
"Genuine","sdc",416
"Genuine","sdc",139
"Genuine","sdc",166
"Genuine","sdc",111
"Genuine","sdc",192
"Genuine","sdc",238
"Genuine","sdc",376
"Genuine","sdc",207
"Genuine","sdc",1143
"Genuine","sdc",333
"Genuine","sdc",149
"Genuine","sdc",213
"Genuine","sdc",90
"Genuine","sdc",520
"Genuine","sdc",350
"Genuine","sdc",175
"Genuine","sdc",129
"Genuine","sdc",201
"Genuine","sdc",146
"Genuine","sdc",108
"Genuine","sdc",125
"Genuine","sdc",104
"Genuine","sdc",116
"Genuine","sdc",148
"Genuine","sdc",145
"Genuine","sdc",102
"Genuine","sdc",237
"Genuine","sdc",83
"Genuine","sdc",383
"Genuine","sdc",133
"Genuine","sdc",116
"Genuine","sdc",77
"Genuine","sdc",270
"Genuine","sdc",221
"Genuine","sdc",310
"Genuine","sdc",123
"Genuine","sdc",746
"Genuine","sdc",176
"Genuine","sdc",48
"Genuine","sdc",369
"Genuine","sdc",437
"Genuine","sdc",80
"Genuine","sdc",220
"Genuine","sdc",558
"Genuine","sdc",260
"Genuine","sdc",241
"Genuine","sdc",273
"Genuine","sdc",181
"Genuine","sdc",368
"Genuine","sdc",236
"Genuine","sdc",202
"Genuine","sdc",370
"Genuine","sdc",192
"Genuine","sdc",109
"Genuine","sdc",137
"Genuine","sdc",130
"Genuine","sdc",205
"Genuine","sdc",113
"Genuine","sdc",118
"Genuine","sdc",41
"Genuine","sdc",299
"Genuine","sdc",73
"Genuine","sdc",107
"Genuine","sdc",77
"Genuine","sdc",114
"Genuine","sdc",160
"Genuine","sdc",131
"Genuine","sdc",128
"Genuine","sdc",59
"Genuine","sdc",211
"Genuine","sdc",56
"Genuine","sdc",121
"Genuine","sdc",168
"Genuine","sdc",123
"Genuine","sdc",288
"Genuine","sdc",151
"Genuine","sdc",186
"Genuine","sdc",220
"Genuine","sdc",64
"Genuine","sdc",300
"Genuine","sdc",73
"Genuine","sdc",104
"Genuine","sdc",90
"Genuine","sdc",214
"Genuine","sdc",408
"Genuine","sdc",107
"Genuine","sdc",88
"Genuine","sdc",142
"Genuine","sdc",129
"Genuine","sdc",138
"Genuine","sdc",260
"Genuine","sdc",272
"Genuine","sdc",241
"Genuine","sdc",54
"Genuine","sdc",64
"Genuine","sdc",416
"Genuine","sdc",85
"Genuine","sdc",176
"Genuine","sdc",99
"Genuine","sdc",202
"Genuine","sdc",103
"Genuine","sdc",133
"Genuine","sdc",87
"Genuine","sdc",121
"Genuine","sdc",205
"Genuine","sdc",83
"Genuine","sdc",129
"Genuine","sdc",149
"Genuine","sdc",104
"Genuine","sdc",94
"Genuine","sdc",397
"Genuine","sdc",167
"Genuine","sdc",86
"Genuine","sdc",140
"Genuine","sdc",134
"Genuine","sdc",138
"Genuine","sdc",232
"Genuine","sdc",191
"Genuine","sdc",260
"Genuine","sdc",73
"Genuine","sdc",181
"Genuine","sdc",83
"Genuine","sdc",62
"Genuine","sdc",505
"Genuine","sdc",218
"Genuine","sdc",445
"Genuine","sdc",386
"Genuine","sdc",93
"Genuine","sdc",390
"Genuine","sdc",244
"Genuine","sdc",224
"Genuine","sdc",80
"Genuine","sdc",252
"Genuine","sdc",117
"Genuine","sdc",105
"Genuine","sdc",219
"Genuine","sdc",84
"Genuine","sdc",557
"Genuine","sdc",234
"Genuine","sdc",61
"Genuine","sdc",598
"Genuine","sdc",536
"Genuine","sdc",136
"Genuine","sdc",158
"Genuine","sdc",141
"Genuine","sdc",62
"Genuine","sdc",162
"Genuine","sdc",123
"Genuine","sdc",187
"Genuine","sdc",209
"Genuine","sdc",82
"Genuine","sdc",290
"Genuine","sdc",109
"Genuine","sdc",232
"Genuine","sdc",130
"Genuine","sdc",526
"Genuine","sdc",310
"Genuine","sdc",274
"Genuine","sdc",589
"Genuine","sdc",101
"Genuine","sdc",97
"Genuine","sdc",73
"Genuine","sdc",185
"Genuine","sdc",125
"Genuine","sdc",288
"Genuine","sdc",65
"Genuine","sdc",176
"Genuine","sdc",110
"Genuine","sdc",204
"Genuine","sdc",319
"Genuine","sdc",95
"Genuine","sdc",308
"Genuine","sdc",92
"Genuine","sdc",110
"Genuine","sdc",508
"Genuine","sdc",236
"Genuine","sdc",173
"Genuine","sdc",190
"Genuine","sdc",72
"Genuine","sdc",176
"Genuine","sdc",303
"Genuine","sdc",175
"Genuine","sdc",95
"Genuine","sdc",228
"Genuine","sdc",223
"Genuine","sdc",165
"Genuine","sdc",778
"Genuine","sdc",208
"Genuine","sdc",59
"Genuine","sdc",60
"Genuine","sdc",88
"Genuine","sdc",731
"Genuine","sdc",368
"Genuine","sdc",156
"Genuine","sdc",93
"Genuine","sdc",246
"Genuine","sdc",669
"Genuine","sdc",342
"Genuine","sdc",99
"Genuine","sdc",113
"Genuine","sdc",634
"Genuine","sdc",114
"Genuine","sdc",327
"Genuine","sdc",207
"Genuine","sdc",83
"Genuine","sdc",226
"Genuine","sdc",125
"Genuine","sdc",151
"Genuine","sdc",68
"Genuine","sdc",220
"Genuine","sdc",275
"Genuine","sdc",969
"Genuine","sdc",80
"Genuine","sdc",178
"Genuine","sdc",78
"Genuine","sdc",236
"Genuine","sdc",179
"Genuine","sdc",148
"Genuine","sdc",238
"Genuine","sdc",94
"Genuine","sdc",66
"Genuine","sdc",210
"Genuine","sdc",211
"Genuine","sdc",188
"Genuine","sdc",110
"Genuine","sdc",91
"Genuine","sdc",178
"Genuine","sdc",141
"Genuine","sdc",181
"Genuine","sdc",52
"Genuine","sdc",256
"Genuine","sdc",93
"Genuine","sdc",48
"Genuine","sdc",192
"Genuine","sdc",381
"Genuine","sdc",243
"Genuine","sdc",255
"Genuine","sdc",480
"Genuine","sdc",250
"Genuine","sdc",162
"Genuine","sdc",186
"Genuine","sdc",227
"Genuine","sdc",225
"Genuine","sdc",304
"Genuine","sdc",173
"Genuine","sdc",195
"Genuine","sdc",69
"Genuine","sdc",113
"Genuine","sdc",218
"Genuine","sdc",97
"Genuine","sdc",193
"Genuine","sdc",100
"Genuine","sdc",70
"Genuine","sdc",78
"Genuine","sdc",315
"Genuine","sdc",237
"Genuine","sdc",76
"Genuine","sdc",159
"Genuine","sdc",134
"Genuine","sdc",201
"Genuine","sdc",155
"Genuine","sdc",398
"Genuine","sdc",76
"Genuine","sdc",121
"Genuine","sdc",277
"Genuine","sdc",205
"Genuine","sdc",440
"Genuine","sdc",365
"Genuine","sdc",172
"Genuine","sdc",157
"Genuine","sdc",166
"Genuine","sdc",192
"Genuine","sdc",160
"Genuine","sdc",82
"Genuine","sdc",107
"Genuine","sdc",235
"Genuine","sdc",253
"Genuine","sdc",72
"Genuine","sdc",213
"Genuine","sdc",99
"Genuine","sdc",156
"Genuine","sdc",133
"Genuine","sdc",280
"Genuine","sdc",298
"Genuine","sdc",311
"Genuine","sdc",42
"Genuine","sdc",55
"Genuine","sdc",85
"Genuine","sdc",150
"Genuine","sdc",95
"Genuine","sdc",178
"Genuine","sdc",334
"Genuine","sdc",188
"Genuine","sdc",526
"Genuine","sdc",83
"Genuine","sdc",213
"Genuine","sdc",111
"Genuine","sdc",366
"Genuine","sdc",127
"Genuine","sdc",71
"Genuine","sdc",97
"Genuine","sdc",173
"Genuine","sdc",324
"Genuine","sdc",118
"Genuine","sdc",1580
"Genuine","sdc",83
"Genuine","sdc",143
"Genuine","sdc",250
"Genuine","sdc",349
"Genuine","sdc",129
"Genuine","sdc",223
"Genuine","sdc",261
"Genuine","sdc",128
"Genuine","sdc",78
"Genuine","sdc",215
"Genuine","sdc",147
"Genuine","sdc",273
"Genuine","sdc",573
"Genuine","sdc",116
"Genuine","sdc",170
"Genuine","sdc",312
"Genuine","sdc",103
"Genuine","sdc",145
"Genuine","sdc",215
"Genuine","sdc",161
"Genuine","sdc",118
"Genuine","sdc",135
"Genuine","sdc",70
"Genuine","sdc",182
"Genuine","sdc",167
"Genuine","sdc",143
"Genuine","sdc",149
"Genuine","sdc",168
"Genuine","sdc",203
"Genuine","sdc",395
"Genuine","sdc",233
"Genuine","sdc",77
"Genuine","sdc",173
"Genuine","sdc",113
"Genuine","sdc",140
"Genuine","sdc",204
"Genuine","sdc",71
