V1,V2,V3,V4,V5,consent,intro,Q31,Q27,filler_01,temp_01,conf_01,res_01,filler_02,temp_02,conf_02,res_02,filler_03,temp_03,conf_03,res_03,filler_04,temp_04,conf_04,res_04,Q25,deb_02,deb_03_1,deb_03_2,deb_03_3,deb_03_4,deb_03_5,deb_03_6,deb_03_7,deb_03_8,deb_01,deb_04,deb_05,deb_06,deb_07,Q35,Q38,Q37
R_8hKoWepYoJSjfBr,Default Response Set,2016-04-25 14:44:34,2016-04-25 17:47:09,1,1,1,1,1,1,1,4,"1,864.31 251.79 / 1,808.89 237.73 / 3,336.38 409.95 / 3,233.57 397.11 / ",1,1,2,"1,476,147.40 503,334.50 / 1,657,449.60 378,811.20 / 3,994,627.70 500,503.20 / 3,974,415.20 475,232.80 / ",1,1,2,"8,214.74 3,027.74 / 8,680.45 4,441.13 / 39,352.24 3,381.68 / 40,404.24 2,159.21 / ",1,1,2,"2,856.51 1,986.94 / 2,782.23 2,129.87 / 43,787.83 6,041.05 / 41,633.61 6,687.35 / ",1,4,,1,,,,,,,2,1,1,10,"Using the rsnorm() function from the fGarch R package, I simulated negative distributions for the high anchor cells and positive distributions for the low anchor cells. I kept running the function until I got a distribution that made sense to me, changing the sd and mean arguments as I went.",1,1,1
R_42bbGk7FpQyatgh,Default Response Set,2016-04-25 17:22:25,2016-04-25 18:23:56,1,1,1,1,1,1,1,4,"3,103.00 103.00 / 3,152.00 92.00 / 4,181.00 213.00 / 4,230.00 201.00 / ",1,1,2,"1,515,789.00 29,283.00 / 1,516,389.00 31,092.00 / 2,578,921.00 60,982.00 / 2,602,099.00 61,092.00 / ",1,1,2,"31,928.00 5,212.00 / 32,102.00 5,402.00 / 42,029.00 1,109.00 / 41,987.00 1,423.00 / ",1,1,2,"6,385.00 110.00 / 6,475.00 101.00 / 7,115.00 302.00 / 7,175.00 207.00 / ",1,3,,1,,,1,,,,2,2,1,4,"At first I just guessed, then I understood the minimum requirements needed to ""support"" the data. Then I took my guess and decided how many more numbers I had to type (3 if I was guessing thousands, 6 if I was guessing millions). I then typed n numbers randomly on the top of my keyboard. These were closer to higher ends if I needed these numbers to be closer to the high anchor, or lower end if I needed them to be closer to the low anchor. So, left side of the keyboard or right side of the keyboard number row. /  / ",1,1,1
R_6J4mfJ8SsiNiAzH,Default Response Set,2016-04-25 18:40:14,2016-04-25 18:55:12,1,1,1,1,1,1,1,4,"3,764.00 595.00 / 3,452.00 587.00 / 4,254.00 834.00 / 4,167.00 915.00 / ",1,1,2,"2,346,234.00 543,306.00 / 2,378,646.00 567,433.00 / 3,800,653.00 689,343.00 / 3,689,654.00 656,430.00 / ",1,1,2,"4,637.00 2,531.00 / 4,236.00 2,351.00 / 32,654.00 6,352.00 / 35,643.00 6,843.00 / ",1,1,2,"1,532.00 524.00 / 1,653.00 686.00 / 35,235.00 2,532.00 / 33,765.00 3,523.00 / ",1,5,1,1,,,1,,1,,2,2,2,2,"I adjusted upwards from the lower number, and downwards from the higher number.  I made up standard deviations, making sure that the larger means almost always had a greater standard deviation.",1,1,1
R_5jRnZk1wSlL1WAd,Default Response Set,2016-04-25 18:51:05,2016-04-25 19:22:36,1,1,1,1,1,1,1,4,"2,640.00 700.00 / 2,700.00 375.98 / 4,680.00 537.74 / 4,640.00 586.66 / ",1,1,2,"1,420,000.00 533,853.90 / 1,460,000.00 518,812.75 / 3,374,000.00 817,149.52 / 3,274,000.00 863,510.28 / ",1,1,2,"5,160.00 2,321.64 / 4,640.00 1,845.72 / 31,200.00 6,658.34 / 30,400.00 6,910.14 / ",1,1,2,"2,040.00 3,939.44 / 1,680.00 2,120.73 / 25,400.00 8,858.84 / 25,500.00 10,026.01 / ",1,5,1,,1,,,,,,2,2,1,1,"I made up values for each ""participant"" in each cell by thinking about a mean for each cell that would yield the desired pattern of results and entered these values into an online calculator. ",1,1,1
R_8ix0y1CxSOLBElT,Default Response Set,2016-04-25 19:13:17,2016-04-25 19:41:47,1,1,1,1,1,1,1,4,"2,702.54 201.75 / 2,689.98 199.56 / 4,582.34 208.45 / 4,579.78 207.22",1,1,2,"567,090.56 2,051.88 / 567,120.45 2,049.76 / 3,503,478.00 6,425.65 / 3,502,509.92 6,419.53",1,1,2,"11,897.00 1,080.00 / 12,081.00 1,090.00 / 29,930.00 990.00 / 30,249.00 995.00",1,1,2,"606.95 45.67 / 605.23 45.56 / 23,040.79 65.22 / 23,048.67 65.30",1,10,1,1,,,1,,,,1,2,2,3,"I created means and standard deviations that appeared to be ""imperfect"" (except for the height of Everest when it hadn't yet occurred to me to not input rounded numbers), e.g. slight variations between groups due to sampling. STD's were less variable between groups also to appear more real. ",1,1,1
R_b7NcYSS2XVZ19sx,Default Response Set,2016-04-25 22:45:52,2016-04-26 00:29:41,1,1,1,1,1,1,1,4,"2,130.16 330.80 / 2,281.22 341.20 / 4,921.32 498.16 / 4,818.71 504.34 / ",1,1,2,"1,484,782.00 12,686.24 / 1,497,624.00 14,211.16 / 4,227,182.00 416,822.31 / 4,097,729.00 416,800.70 / ",1,1,2,"16,620.16 576.63 / 16,512.42 558.81 / 38,696.64 612.93 / 39,062.78 651.12 / ",1,1,2,"2,206.24 463.83 / 2,122.71 481.22 / 22,878.44 540.23 / 23,112.02 552.12 / ",1,7,1,1,,,1,,,,2,2,2,8,"I started by making up means for the low and high values (of each gender group).  I then added and subtracted arbitrary values from those means to create a set of 25 scores for two of the groups (i.e., low and high anchor groups), and got a viable estimate of the variance.  Then I simply altered the mean and standard deviation values slightly for the other gender group, trying different combinations until I created a set of summary statistics that fit the requirements (of only one main effect and no interaction).",1,1,1
R_dhUJJWdWK2rfLWR,Default Response Set,2016-04-26 02:42:15,2016-04-26 03:04:47,1,1,1,1,1,1,1,4,"1,728.00 409.00 / 1,692.00 611.00 / 5,128.00 807.00 / 5,198.00 912.00",1,1,2,"250,643.00 17,823.00 / 278,331.00 16,824.00 / 4,183,509.00 107,988.00 / 4,200,915.00 111,658.00",1,1,2,"24,196.00 1,193.00 / 24,724.00 1,204.00 / 38,126.00 1,462.00 / 38,443.00 1,309.00",1,1,2,"422.00 86.00 / 440.00 190.00 / 41,820.00 1,094.00 / 42,003.00 2,015.00",1,9,1,,,,,,1,,2,2,2,1,"I used the same procedure between the four studies.  I estimated means relating to the low anchor to be about 120% of the anchor number, and means of the high anchor I estimated at about 80%.  I meant to alternate higher group means between male and female participant groups to prevent a main effect by gender.  I reduced the risk of accidentally producing a significant group difference by gender by estimating standard deviations that were slightly larger than I imagined they might be.",1,1,1
R_4Jf3zUJrydSIasB,Default Response Set,2016-04-26 05:53:25,2016-04-26 06:44:41,1,1,1,1,1,1,1,4,"3,205.65 260.23 / 3,172.89 301.99 / 5,105.00 300.05 / 5,135.63 257.32 / ",1,1,2,"1,662,235.33 282,334.91 / 1,597,887.63 306,320.98 / 4,795,782.22 313,332.00 / 5,010,766.31 485,177.16 /  /  / ",1,1,2,"21,397.78 4,321.17 / 19,340.00 6,523.76 / 39,142.23 4,293.00 / 39,999.21 2,439.23 / ",1,1,2,"8,209.33 987.23 / 7,999.68 1,003.99 / 8936,32 899.32 / 9,873.77 1,021.32 / ",1,10,1,,,1,,,1,,2,2,2,2,"- calculated standard error first, so that I knew my limits that the cells could vary. / - looked at ratio difference between answer and correct answer on sample question / - considered how large the standard deviations should be with respect to the means",1,1,1
R_9XhjfXDjcchvSiF,Default Response Set,2016-04-26 15:12:34,2016-04-26 16:39:05,1,1,1,1,1,1,1,4,"1.450,00 15,40 / 1.320,00 30,50 / 4.000,00 40,36 / 3.500,00 20,54 / ",1,1,2,"345.000,00 50,20 / 165.000,50 30,60 / 3.460.000,00 100,00 / 1.700.000,00 255,00 / ",1,1,2,"40.000,00 32,70 / 10.000,00 25,00 / 25.000,00 45,00 / 34.000,00 36,00 / ",1,1,2,"400,00 50,00 / 250,00 34,00 / 45.000,00 1.000,00 / 37.000,00 562,00 / ",1,7,1,1,1,,1,,,,2,2,2,4,,1,1,1
R_5gOxDE29u0gvbpP,Default Response Set,2016-04-26 18:23:28,2016-04-26 18:59:38,1,1,1,1,1,1,1,4,"2,054.84 315.44 / 2,165.14 321.61 / 3,616.39 341.53 / 3,586.89 351.82 / ",1,1,2,"1,346,211.00         233,056.00 / 1,332,051.00 232,915.00 / 4,102,158.00 243,503.00 / 4,201,782.00 299,244.00 / ",1,1,2,"13,943.15 626.31 / 14,096.01 692.56 / 31,178.35 681.17 / 31,064.94 644.25 / ",1,1,2,"866.94 131.26 / 855.16 145.37 / 14,165.35 184.68 / 14,095.67 162.88 / ",1,7,1,,,,,,,,2,2,2,6,"I tried to make them look like reasonable estimates, but assumed that with little knowledge of the real numbers the standard deviations would generally be on the high side. I also tried to show the main effect, but not a huge effect. (In hindsight, I may have needed to pay more attention to the p value and F statistic; I focused primarily on a binary supported or not-supported outcome. Some of the null results should have been closer to significant to be less obvious.).",1,1,1
R_6SdnyUSyMBF0LjL,Default Response Set,2016-04-26 20:13:08,2016-04-26 21:24:50,1,1,1,1,1,1,1,4,"2,927.15 818.85 / 3,290.60 698.87 / 3,630.23 534.37 / 3,511.98 448.97",1,1,2,"4,870,800.00 798,800.80 / 4,940,400.00 611,746.70 / 3,446,800.00 560,540.80 / 3,726,000.00 569,092.80",1,1,2,"31,887.28 8,455.04 / 29,470.14 11,172.31 / 38,487.71 12,170.97 / 36,405.66 13,876.84",1,1,2,"18,855.41 14,910.86 / 23,824.59 18,086.57 / 38,723.55 8,938.20 / 37,756.51 8,635.04",1,9,,1,,,,,,,2,1,1,1,"I generated random normal distributions from a hypothetical mean and SD (obtained by asking others in the room the question), took the absolute value of the distribution, and calculated means and SDs from that.  Repeated procedure 4 times to put in each gender/anchor condition subgroup..  ",1,,
R_8vLYlGUBrQGm2Ed,Default Response Set,2016-04-27 01:42:14,2016-04-27 03:01:44,1,1,1,1,1,1,1,4,675.53 1064.877671 / 648.11 839.9296855 / 4608.45 9711.027602 / 2455.96 1957.295093 / ,1,1,2,25644.45 21356.65422 / 19780.67 1829.890095 / 5001201.19 15039.71014 / 4997790.9 11116.52767 / ,1,1,2,7713.24 21462.73351 / 1807.41 1889.420172 / 51427.75 15315.32529 / 47470.82 10518.91054 / ,1,1,2,242.16 989.3023021 / 200.61 697.6823956 / 18700.64 14692.47833 / 18790.01 14853.21453 / ,1,7,1,,,,1,,,,2,1,1,1,"I created a dataset of 100 participants for each condition. For the first set of simulated data, I randomly generated numbers that were about %5 above the anchor and %20 below the anchor. I added in some high and low outliers and then tweaked the dataset until it was close the actual mean. /  / For the other sets of data, I took the difference between the anchor from the previous dataset and the new dataset and added or subtracted to the new dataset (depending on whether the new anchor was higher or lower). In other words, I rescaled the data from each condition to the anchor in the new dataset.",1,1,1
R_b1m4wPk2ZD49OhT,Default Response Set,2016-04-27 21:51:04,2016-04-27 22:27:53,1,1,1,1,1,1,1,4,"2,872.32 455.29 / 3,072.60 522.87 / 3,273.72 512.23 / 3,120.04 678.32 / ",1,1,2,"1,953,483.73 489,378.98 / 1,877,530.54 561,134.02 / 3,895,622.92 572,198.64 / 4,025,701.02 678,903.45 / ",1,1,2,"9,823.08 4,098.24 / 11,402.44 6,199.35 / 41,240.58 2,035.28 / 42,494.76 1,987.98 / ",1,1,2,"6,263.24 2,743.98 / 5,498.40 3,221.52 / 23,677.64 4,395.43 / 21,908.84 3,947.21 / ",1,7,1,,,,1,,,,2,2,2,2,"I picked number that seemed reasonable, then made them look messy. If the hypothesis didn't workout right I tweak the numbers until they did. Also, it seemed important to make sure the means could have been reached by dividing whole numbers by 25, but I did not think of that until the second question",1,1,1
R_cZwRjPHGzD5F1PL,Default Response Set,2016-04-28 05:53:18,2016-04-28 06:10:30,1,1,1,1,1,1,1,4,"2,367.00 253.00 / 2,419.00 342.00 / 4,836.00 212.00 / 4,725.00 301.00",1,1,2,"1,579,209.00 101,432.00 / 1,584,327.00 99,954.00 / 3,668,294.00 154,863.00 / 3,674,852.00 167,928.00",1,1,2,"13,785.00 659.00 / 13,899.00 542.00 / 15,087.00 529.00 / 14,955.00 478.00",1,1,2,"501.00 96.00 / 543.00 87.00 / 2,367.00 135.00 / 2,401.00 176.00",1,8,,,,,1,,1,,2,2,2,3,Came up with plausible numbers for the first cell and filled out remaining cells with values that showed the differences of interest.,1,1,1
R_834eeqsBqK5UgPb,Default Response Set,2016-04-29 00:05:57,2016-04-29 00:27:16,1,1,1,1,1,1,1,4,"2,345.12 459.16 / 2,454.78 432.56 / 4,532.19 684.11 / 4,612.56 675.45 / ",1,1,2,"1,763,208.00 42,912.00 / 1,724,010.00 43,163.00 / 4,221,845.00 124,764.00 / 4,199,411.00         125,746.00 / ",1,1,2,"5,692.41 219.09 / 6,531.59 232.43 / 34,987.34 4,982.98 / 36,865.62 5,012.64 / ",1,1,2,"1,945.00 249.00 / 1,874.00 312.00 / 32,876.00 5,012.00 / 31,498.00 5,954.00 / ",1,8,1,1,,,,,,,2,2,2,3,Plugged in the numbers the way I thought it would produce the findings that were asked of me.,1,1,1
R_9trUkiQsSxXwcdf,Default Response Set,2016-04-28 17:34:23,2016-04-29 00:38:09,1,1,1,1,1,1,1,4,"2,624.86 742.23 / 2,657.46 1,067.40 / 4,290.08 1,138.72 / 3,507.69 1,204.01",1,1,2,"871,201.90 869,153.40 / 1,196,032.30 775,077.00 / 2,725,895.90 1,554,248.30 / 2,581,969.10 799,392.30",1,1,2,"14,801.96 11,952.10 / 16,297.38 8,954.64 / 29,325.80 5,489.98 / 32,313.61 8,671.33",1,1,2,"4,470.47 7,568.42 / 2,882.19 7,440.54 / 21,932.09 10,563.42 / 22,633.46 10,032.06",1,8,,1,,,,,,,2,1,1,3,"I downloaded the Many Labs data and for each research result picked a different research site to take the Many Labs means and standard deviations from. I then created simulated data  sets based on the real means and standard deviations taken from the Many Labs data, assuming a normal distribution with 25 participants in each cell data, and reported the means and standard deviations that I got from the simulation.",1,1,1
R_9KSXM3BeGiUQ3pX,Default Response Set,2016-04-29 22:59:17,2016-04-29 23:36:19,1,1,1,1,1,1,1,4,"2,101.00 301.00 / 2,041.00 359.00 / 3,588.00 1,880.00 / 4,391.00 2,211.00",1,1,2,"1,604,538.00 753,679.00 / 1,213,606.00 837,986.00 / 2,139,899.00 1,078,144.00 / 1,784,279.00 1,161,259.00",1,1,2,"14,436.00 7,372.00 / 12,068.00 7,397.00 / 29,140.00 11,793.00 / 29,960.00 16,045.00",1,1,2,"6,564.00 3,660.00 / 6,217.00 4,694.00 / 20,598.00 12,030.00 / 21,917.00 11,302.00",1,7,,1,,,,,,,2,1,1,1,"I generated random number using RAND(), then multiplied it by an overestimate of what I thought the mean would be (since the random numbers were all < 1). In a couple of cases there were several values below the anchored number, so I tweaked it a bit to get rid of those. I didn't really worry if there were only one or two data points beyond the anchored number.",1,1,1
R_bPp1uFJP9l9FwDr,Default Response Set,2016-04-25 14:17:31,2016-04-25 14:18:07,0,1,1,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
R_eu4ch87NvMOgiON,Default Response Set,2016-04-25 14:24:30,2016-04-25 14:26:17,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_8v2jO2yvcxJ9RYN,Default Response Set,2016-04-25 14:28:30,2016-04-25 14:30:00,0,1,1,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3V59PCPaiUoOZgN,Default Response Set,2016-04-25 14:29:27,2016-04-25 14:31:08,0,1,1,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
R_eVgR9OBrQJlTE5D,Default Response Set,2016-04-25 14:51:19,2016-04-25 14:51:51,0,1,1,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
