session_id,AnagramsOrder10,AvailOrder10,ELMOrder10,PowerOrder10,SESDOrder10,WeightOrder10,CredentialOrder10,MetaphorOrder10,StroopOrder10,WarmthOrder10
680371,5,2,7,1,10,3,9,4,8,6
680375,8,2,6,1,4,9,7,10,5,3
680377,6,4,10,8,5,2,7,3,1,9
680383,2,6,5,3,4,10,7,9,8,1
680385,10,4,5,3,2,8,1,7,6,9
680442,3,7,5,1,8,NA,4,NA,2,6
680458,1,4,6,3,10,8,5,9,7,2
680465,6,7,9,4,8,3,5,2,10,1
680469,3,4,7,2,10,6,9,5,8,1
680471,6,7,2,8,5,NA,4,NA,3,1
680476,5,4,6,1,8,NA,7,NA,2,3
680501,2,5,3,1,4,9,10,8,6,7
680507,10,4,3,1,7,8,6,9,5,2
680541,5,6,7,3,1,10,2,9,4,8
680551,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
680553,6,4,5,7,2,8,3,9,1,10
680554,5,2,3,7,1,NA,4,NA,6,8
680558,7,8,9,10,1,2,6,3,4,5
680565,7,6,4,3,1,9,2,8,10,5
680566,3,5,9,2,1,7,4,6,8,10
680742,9,8,7,2,10,6,1,5,4,3
680743,6,9,5,1,3,7,4,8,10,2
680751,9,8,3,10,6,2,5,1,4,7
680754,1,7,8,2,3,5,10,6,4,9
680755,6,1,4,10,5,8,2,7,9,3
680756,1,2,3,8,7,5,10,4,6,9
680757,10,1,2,6,4,8,7,9,3,5
680861,7,2,6,1,5,4,9,3,10,8
680871,5,10,6,1,9,3,8,4,7,2
680885,8,3,1,10,9,4,7,5,6,2
680890,1,3,6,2,10,7,9,8,5,4
680896,4,8,1,2,10,7,9,6,3,5
680915,8,2,3,7,1,NA,6,NA,4,5
680924,10,2,8,9,3,5,7,4,1,6
680928,5,2,4,3,8,NA,7,NA,6,1
680935,4,1,5,2,10,9,7,8,3,6
680938,5,6,3,4,10,1,8,2,9,7
680943,6,8,10,9,3,1,4,2,7,5
681010,9,10,3,8,2,7,1,6,4,5
681022,4,10,2,3,8,6,7,5,1,9
681040,4,8,5,3,7,10,1,9,6,2
681041,2,4,3,8,1,6,10,7,9,5
681048,7,2,1,6,3,4,8,5,10,9
681050,6,7,5,8,4,10,2,9,1,3
681055,4,9,1,3,6,7,2,8,5,10
681056,4,9,8,5,6,2,7,1,10,3
681058,9,8,1,7,6,5,3,4,10,2
681060,6,3,1,9,4,7,10,8,5,2
681100,2,4,8,7,10,6,3,5,9,1
681108,7,9,8,10,6,4,1,3,5,2
681114,1,10,2,5,7,3,9,4,8,6
681115,9,1,2,6,10,5,7,4,3,8
681116,6,7,3,10,9,1,8,2,4,5
681122,4,6,9,3,2,8,10,7,1,5
681133,9,3,5,7,10,2,4,1,8,6
681135,2,5,1,9,10,7,6,8,4,3
681140,10,5,8,1,7,4,2,3,6,9
681143,3,1,10,9,7,4,8,5,6,2
681146,8,4,3,9,2,6,10,7,5,1
681149,8,7,3,6,2,4,10,5,1,9
681152,2,6,10,7,8,4,5,3,1,9
681154,8,4,10,1,7,5,2,6,9,3
681157,7,9,4,8,10,2,6,1,3,5
681159,1,8,10,2,5,4,7,3,6,9
681163,8,2,7,10,6,4,9,5,3,1
681175,7,1,4,8,2,5,3,6,9,10
681181,7,1,10,9,5,4,8,3,2,6
681188,2,4,1,5,10,7,3,8,9,6
681194,8,5,6,4,3,10,2,9,7,1
681197,7,9,10,1,2,5,4,6,8,3
681208,10,8,1,4,5,7,3,6,9,2
681210,5,1,8,7,9,3,2,4,6,10
681219,3,2,1,8,5,7,10,6,4,9
681285,6,10,9,5,1,3,8,2,4,7
681286,3,6,7,1,5,9,8,10,2,4
681287,2,1,3,7,9,4,6,5,8,10
681297,1,6,5,8,9,4,2,3,10,7
681299,5,1,2,3,4,10,8,9,7,6
681323,1,8,2,6,7,3,9,4,10,5
681324,4,5,3,6,7,9,2,8,10,1
681325,3,7,1,8,9,4,6,5,2,10
681335,7,6,2,8,3,9,4,10,1,5
681336,4,5,6,8,1,9,3,10,7,2
681337,10,5,1,6,7,4,9,3,8,2
681339,2,7,5,10,9,3,1,4,6,8
681340,8,6,9,4,5,3,7,2,10,1
681341,5,9,1,7,8,4,2,3,6,10
681344,10,9,1,5,8,7,4,6,3,2
681345,9,8,3,1,2,5,10,6,7,4
681762,1,9,10,8,5,3,4,2,7,6
681763,5,8,10,4,9,2,3,1,6,7
681764,3,7,8,4,5,1,6,2,10,9
681765,10,6,8,5,1,2,9,3,7,4
681772,7,6,2,1,9,5,3,4,10,8
681773,9,1,8,10,5,6,2,7,3,4
681774,2,7,6,8,4,9,1,10,3,5
681783,7,3,9,5,8,2,10,1,4,6
681784,4,3,2,1,6,9,7,10,8,5
681785,7,10,8,5,9,3,6,2,4,1
681787,6,5,9,10,8,3,7,2,1,4
681788,6,4,2,8,5,10,1,9,3,7
681789,5,4,9,3,8,1,7,2,6,10
681873,6,7,4,9,10,1,3,2,5,8
681874,8,10,2,7,1,4,9,3,6,5
681875,8,7,5,10,9,2,6,3,1,4
681893,8,2,6,5,1,9,4,10,3,7
681896,1,6,7,5,2,9,3,10,4,8
681899,4,9,8,7,6,3,1,2,10,5
681912,3,10,7,4,6,2,5,1,8,9
681914,4,7,3,2,9,5,10,6,1,8
681916,2,4,10,8,1,6,3,7,5,9
681918,8,2,10,7,1,4,9,3,5,6
681922,6,2,5,10,7,4,8,3,9,1
681924,2,4,10,1,8,5,7,6,3,9
681926,9,1,8,7,10,5,6,4,2,3
681937,7,3,2,6,4,9,1,10,8,5
681939,8,1,3,7,5,10,2,9,4,6
681940,4,10,2,9,3,7,1,6,5,8
681941,4,10,9,5,7,1,8,2,6,3
681948,9,1,8,6,10,4,3,5,2,7
681949,2,7,1,3,9,6,4,5,8,10
682031,8,3,9,1,10,6,2,5,7,4
682032,6,2,3,7,4,9,8,10,5,1
682075,9,1,6,8,4,2,10,3,5,7
682076,10,9,4,8,3,2,6,1,5,7
682082,1,8,5,3,2,6,4,7,10,9
682083,2,3,4,5,10,6,1,7,9,8
682084,1,5,7,3,4,10,2,9,6,8
682085,7,4,3,6,8,2,5,1,9,10
682090,1,6,4,7,5,10,2,9,3,8
682091,7,5,6,1,9,4,8,3,10,2
682092,3,8,6,7,5,9,2,10,4,1
682093,8,9,3,10,7,5,1,6,4,2
682325,10,6,1,9,2,4,7,3,5,8
682344,10,7,5,3,1,8,2,9,6,4
682345,1,3,2,6,7,9,4,10,8,5
682347,3,10,7,5,1,9,6,8,4,2
682366,1,2,7,3,6,9,8,10,4,5
682367,3,5,2,9,4,6,1,7,8,10
682370,3,8,10,5,7,2,4,1,6,9
682376,6,4,3,2,9,8,5,7,10,1
682378,6,7,10,4,8,3,5,2,1,9
682379,10,1,3,4,9,7,2,8,5,6
682391,4,7,3,5,8,10,1,9,2,6
682393,7,1,6,5,10,2,9,3,8,4
682394,1,7,5,4,2,10,6,9,3,8
682396,1,6,2,8,3,9,4,10,7,5
682398,3,2,1,8,4,6,5,7,10,9
682477,8,6,9,7,10,3,1,2,5,4
682478,5,9,10,2,8,6,3,7,4,1
682479,9,7,8,4,2,6,10,5,1,3
682535,2,5,3,1,6,8,9,7,4,10
682536,2,5,10,9,3,7,4,6,8,1
682537,8,5,1,7,10,2,4,3,6,9
682542,7,10,9,4,6,1,5,2,3,8
682543,6,8,9,10,1,5,7,4,3,2
682545,1,8,2,5,3,7,10,6,9,4
682548,7,9,2,5,6,3,1,4,10,8
682556,2,8,1,4,3,10,6,9,7,5
682557,4,3,1,10,6,8,7,9,5,2
682558,2,7,1,3,6,9,10,8,4,5
682559,8,10,7,1,6,4,9,5,2,3
682971,7,2,3,8,6,10,4,9,1,5
682973,3,9,5,7,10,1,4,2,8,6
682974,10,8,9,2,6,3,1,4,5,7
682982,6,10,8,5,7,3,1,2,9,4
682999,6,3,7,5,2,NA,1,NA,4,8
683012,7,1,9,10,2,5,3,6,8,4
683013,9,7,1,2,3,4,10,5,6,8
683020,1,4,7,5,8,9,6,10,3,2
683021,3,2,10,4,1,7,6,8,5,9
683022,3,4,2,8,1,7,9,6,5,10
683023,5,4,9,6,3,2,8,1,10,7
683031,7,8,6,2,1,9,5,10,3,4
683032,2,9,6,8,1,5,7,4,3,10
683034,10,5,3,9,1,7,2,6,8,4
683035,8,9,10,2,1,6,3,7,4,5
683115,1,4,5,6,3,9,10,8,7,2
683116,10,1,6,2,3,5,8,4,9,7
683136,9,5,10,6,1,2,7,3,8,4
683137,1,7,9,5,6,3,2,4,8,10
683148,2,7,1,6,8,9,4,10,5,3
683149,6,10,9,1,8,4,7,3,5,2
683150,10,9,2,7,1,5,8,4,3,6
683151,6,4,8,7,5,9,2,10,1,3
683162,7,3,1,4,2,9,10,8,5,6
683163,3,8,7,4,9,2,5,1,6,10
683232,9,7,8,5,4,1,6,2,10,3
683233,9,1,5,7,10,2,8,3,4,6
683234,1,4,6,5,10,9,7,8,3,2
683235,5,1,8,6,7,3,4,2,9,10
683247,1,5,8,7,4,NA,2,NA,6,3
683248,6,3,2,1,5,NA,8,NA,7,4
683250,8,5,3,10,9,1,6,2,4,7
683253,1,3,10,6,9,7,4,8,5,2
683261,7,4,3,2,5,9,1,10,8,6
683262,5,8,4,3,2,7,9,6,1,10
683263,2,10,5,7,6,8,3,9,1,4
683274,10,8,3,1,9,7,2,6,5,4
683290,5,4,3,9,6,7,1,8,10,2
683298,10,2,7,3,9,6,1,5,8,4
683307,8,1,6,3,7,10,4,9,5,2
683308,2,7,5,6,4,9,1,10,8,3
683310,2,10,7,8,3,4,9,5,1,6
683369,7,5,8,10,6,3,9,4,2,1
683370,3,9,10,1,8,7,5,6,2,4
683371,4,6,5,3,8,10,1,9,7,2
683387,3,4,6,5,8,9,2,10,7,1
683388,1,8,3,2,7,5,4,6,10,9
683389,6,5,3,2,4,9,1,8,10,7
683390,7,3,1,2,5,9,6,8,4,10
683419,9,10,8,4,6,1,5,2,7,3
683422,4,10,9,5,1,3,7,2,8,6
683423,10,6,3,8,9,1,5,2,4,7
683443,10,7,1,4,5,3,8,2,6,9
683444,3,2,6,4,1,7,10,8,9,5
684072,1,2,5,6,8,NA,4,NA,7,3
7373981,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
7375406,4,2,5,6,7,NA,3,NA,NA,1
7375414,2,4,NA,3,5,NA,1,NA,NA,NA
7375415,1,NA,NA,NA,3,NA,NA,NA,NA,2
7375472,4,2,NA,5,6,NA,1,NA,NA,3
7375500,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
7375538,NA,4,NA,2,3,NA,1,NA,NA,NA
7375546,NA,NA,NA,NA,1,NA,NA,NA,NA,2
7375800,1,4,6,2,7,NA,8,NA,3,5
7375980,7,5,1,3,8,NA,2,NA,4,6
7378049,2,6,3,4,1,NA,8,NA,5,7
7378236,1,3,2,5,4,NA,8,NA,7,6
7380472,10,5,2,1,3,7,9,8,6,4
7380473,9,4,10,1,5,7,2,8,3,6
7380623,10,7,1,9,8,6,2,5,4,3
7380624,8,7,3,6,4,10,5,9,2,1
7380763,5,2,3,4,10,7,6,8,1,9
7381253,2,7,8,3,6,5,9,4,10,1
7381395,6,10,5,1,8,3,4,2,7,9
7381507,2,3,6,8,5,9,7,10,1,4
7384896,4,5,2,8,1,NA,3,NA,7,6
7384974,8,2,5,7,1,NA,4,NA,3,6
7385046,7,3,10,9,1,6,4,5,2,8
7385064,10,5,4,2,8,6,9,7,3,1
7385139,2,6,8,9,3,4,7,5,10,1
7385155,1,6,3,7,2,8,10,9,4,5
7388398,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
7390131,6,3,2,4,5,NA,1,NA,8,7
7391552,6,4,2,1,5,7,10,8,9,3
7391599,9,6,1,10,2,7,4,8,5,3
7391707,3,5,8,2,4,NA,1,NA,7,6
7391740,2,4,3,8,6,NA,5,NA,1,7
7391969,3,5,6,8,4,NA,2,NA,1,7
7391990,10,9,8,2,7,5,4,6,1,3
7392151,1,7,2,6,5,NA,4,NA,3,8
7392153,2,7,9,8,10,5,3,4,1,6
7392166,7,8,5,1,2,NA,3,NA,4,6
7392194,3,7,6,5,1,NA,8,NA,4,2
7392215,5,6,1,7,9,3,8,4,10,2
7392218,3,5,4,2,1,NA,8,NA,6,7
7392222,5,1,10,6,3,8,9,7,2,4
7392224,2,5,9,10,4,7,1,8,6,3
7392233,2,10,7,4,3,9,6,8,1,5
7392329,9,3,4,10,5,1,7,2,6,8
7392345,6,8,7,5,2,NA,1,NA,3,4
7392354,4,6,2,3,8,NA,1,NA,5,7
7392375,2,4,9,7,3,5,10,6,1,8
7392377,10,3,5,9,7,2,8,1,6,4
7392407,6,7,8,1,9,3,4,2,5,10
7392428,7,10,6,4,1,9,5,8,2,3
7392517,2,5,10,9,8,4,6,3,1,7
7392541,4,10,9,2,5,6,8,7,1,3
7392698,8,6,1,9,7,2,5,3,10,4
7392714,8,2,7,9,10,5,1,6,4,3
7392875,4,8,1,10,2,6,7,5,3,9
7395197,8,2,6,1,3,NA,5,NA,7,4
7395265,9,4,8,10,5,3,1,2,6,7
7396082,6,7,2,4,5,NA,8,NA,1,3
7397166,7,4,8,6,2,NA,5,NA,1,3
7397194,6,5,7,3,2,9,4,10,8,1
7397218,5,4,1,8,10,7,2,6,3,9
7397229,1,7,4,2,3,NA,6,NA,8,5
7397324,8,10,3,5,2,7,4,6,1,9
7397325,2,3,7,8,4,10,5,9,1,6
7397377,5,1,9,2,10,6,3,7,4,8
7397396,8,10,9,2,6,4,7,5,3,1
7397397,10,5,1,2,4,8,7,9,3,6
7397408,2,4,6,3,1,9,5,10,8,7
7397497,1,6,3,5,4,8,7,9,2,10
7397557,5,4,8,10,6,3,9,2,1,7
7397559,1,7,8,5,9,3,4,2,10,6
7397688,6,10,7,2,4,8,1,9,3,5
7397693,5,6,1,2,8,3,10,4,7,9
7399325,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
7399330,10,8,2,9,7,6,4,5,3,1
7399450,10,2,6,8,3,4,9,5,7,1
7399538,10,4,2,9,5,8,3,7,1,6
7399569,7,2,5,10,3,9,1,8,6,4
7399800,6,4,8,7,5,NA,2,NA,1,3
7399836,7,2,6,1,5,NA,8,NA,4,3
7399907,6,4,3,1,2,NA,5,NA,7,8
7401288,6,2,7,1,3,NA,5,NA,4,8
7403772,6,1,4,2,7,NA,3,NA,8,5
7403785,3,6,4,2,8,NA,7,NA,5,1
7403849,7,8,5,6,4,NA,1,NA,2,3
7403850,4,7,1,8,5,NA,2,NA,3,6
7404018,2,3,5,1,4,NA,6,NA,8,7
7404107,4,5,3,6,7,NA,8,NA,1,2
7404218,1,4,6,7,8,NA,5,NA,2,3
7404305,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
7404345,6,5,4,8,2,NA,3,NA,7,1
7404455,6,9,5,8,10,2,1,3,4,7
7404471,8,4,3,9,7,5,2,6,1,10
7404492,9,2,7,1,10,5,8,4,6,3
7404620,6,7,2,1,8,NA,5,NA,3,4
7404626,8,2,3,5,4,6,1,7,10,9
7404644,8,2,9,10,5,6,3,7,4,1
7404663,2,6,7,5,10,3,1,4,9,8
7404778,3,8,2,4,5,7,1,6,10,9
7404789,2,7,9,6,8,5,3,4,1,10
7404824,10,9,7,4,8,1,3,2,5,6
7404838,8,6,5,1,9,3,10,4,2,7
7404845,9,8,2,5,10,6,4,7,3,1
7404873,8,2,3,4,5,10,6,9,7,1
7404931,9,3,2,4,10,7,6,8,5,1
7404938,1,2,9,8,6,5,3,4,7,10
7404943,7,6,5,4,1,8,3,9,10,2
7404968,4,2,5,9,10,7,1,6,3,8
7405074,5,8,3,4,1,NA,6,NA,7,2
7405897,2,8,1,7,3,NA,5,NA,6,4
7406350,1,7,2,4,3,9,5,8,6,10
7406351,5,6,8,7,2,4,9,3,10,1
7406377,7,4,6,1,3,NA,2,NA,8,5
7406381,7,5,3,2,4,NA,8,NA,6,1
7406391,4,2,7,5,1,NA,6,NA,8,3
7406487,10,6,2,4,9,7,3,8,1,5
7406505,6,4,7,5,1,NA,3,NA,8,2
7406555,3,7,2,4,8,NA,1,NA,5,6
7406639,3,1,4,5,8,NA,2,NA,7,6
7406640,2,8,7,1,9,5,3,4,6,10
7406697,3,4,7,6,2,NA,8,NA,1,5
7406824,6,7,3,5,4,NA,8,NA,1,2
7406836,7,8,4,1,6,NA,5,NA,2,3
7406839,6,1,5,10,4,3,9,2,8,7
7406840,2,7,6,1,8,NA,5,NA,4,3
7406842,2,5,7,10,6,4,9,3,1,8
7406971,1,3,6,8,5,NA,4,NA,7,2
7406991,4,9,8,2,3,6,10,7,5,1
7407084,1,9,2,4,10,7,8,6,5,3
7407086,2,8,7,10,4,6,9,5,3,1
7407138,5,10,6,1,9,3,7,2,8,4
7407270,1,2,10,8,9,4,7,5,6,3
7407324,1,2,8,5,10,4,7,3,9,6
7407327,10,1,2,6,3,8,9,7,4,5
7407328,2,1,8,7,3,4,9,5,6,10
7407412,2,10,7,4,9,5,1,6,8,3
7407430,2,1,7,6,4,9,3,8,10,5
7407447,8,9,10,7,3,6,4,5,1,2
7407467,6,1,5,4,8,9,2,10,7,3
7407534,7,8,5,4,9,1,10,2,3,6
7407615,1,8,9,2,4,5,7,6,3,10
7407646,9,2,5,1,3,7,10,6,8,4
7407692,2,10,4,6,5,9,7,8,3,1
7407695,2,7,3,4,1,NA,5,NA,6,8
7407701,5,6,2,8,1,3,7,4,10,9
7407732,6,10,7,1,8,5,2,4,3,9
7407755,4,1,9,8,7,2,6,3,10,5
7407780,7,5,6,9,4,2,10,1,8,3
7407806,4,9,8,3,7,6,2,5,1,10
7407822,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
7407841,1,3,7,4,2,NA,5,NA,6,8
7407886,2,7,8,5,6,NA,4,NA,3,1
7407902,10,7,3,9,1,5,6,4,2,8
7407915,4,5,1,10,3,6,2,7,9,8
7407923,6,4,7,10,1,3,9,2,8,5
7408011,6,3,2,8,4,NA,5,NA,1,7
7408019,3,1,8,9,7,4,10,5,6,2
7408039,10,4,9,7,6,1,5,2,8,3
7408043,3,8,2,10,1,7,5,6,9,4
7408078,7,6,2,3,8,NA,1,NA,5,4
7408123,1,7,6,5,8,NA,3,NA,4,2
7408129,6,7,8,4,5,2,9,3,10,1
7408132,5,6,10,7,1,3,9,4,8,2
7408134,2,8,7,5,9,4,1,3,10,6
7408196,7,6,3,5,8,9,1,10,4,2
7408206,4,1,7,10,6,3,9,2,5,8
7408224,2,3,1,8,7,NA,6,NA,5,4
7408225,4,5,6,10,7,2,8,3,9,1
7408236,9,10,5,8,6,4,2,3,7,1
7408275,9,1,10,2,3,6,4,7,8,5
7408296,10,1,5,9,7,2,8,3,4,6
7409445,2,8,3,10,6,5,7,4,1,9
7409493,10,2,7,9,5,4,6,3,8,1
7409617,4,5,2,9,10,8,1,7,6,3
7409728,5,6,1,4,10,7,3,8,9,2
7409758,8,2,7,6,3,NA,4,NA,5,1
7409762,3,1,7,2,5,9,4,8,10,6
7409934,NA,1,NA,2,3,NA,5,NA,4,NA
7409936,NA,NA,2,3,1,NA,NA,NA,NA,NA
7409942,5,4,3,8,2,NA,7,NA,1,6
7409989,8,10,1,9,6,2,7,3,5,4
7410023,6,2,1,4,7,NA,5,NA,NA,3
7410026,3,2,5,6,4,8,10,9,7,1
7410028,6,8,7,3,4,10,5,9,2,1
7410104,6,4,10,9,8,3,5,2,1,7
7410119,NA,NA,2,1,3,NA,NA,NA,4,5
7410121,4,6,7,1,3,NA,5,NA,8,2
7410129,6,1,5,8,4,NA,3,NA,2,7
7410212,5,8,4,7,2,NA,6,NA,3,1
7410213,6,1,4,7,9,2,10,3,8,5
7410299,10,1,5,7,2,4,9,3,8,6
7410300,5,1,4,6,3,NA,2,NA,7,8
7410301,9,2,5,10,7,4,1,3,6,8
7410598,10,1,2,9,6,7,3,8,4,5
7410599,4,5,10,3,8,1,9,2,6,7
7410738,1,3,8,6,7,5,9,4,10,2
7412374,10,2,8,3,6,5,7,4,1,9
7412478,2,3,10,1,8,7,5,6,9,4
7412525,6,7,3,2,8,10,5,9,1,4
7412626,1,3,NA,NA,2,NA,NA,NA,NA,NA
7412670,7,8,4,3,6,1,9,2,5,10
7412693,5,9,1,8,2,4,6,3,10,7
7412819,8,6,2,9,7,5,1,4,3,10
7412935,7,9,10,6,2,5,8,4,3,1
7412963,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
7412991,3,5,1,2,10,8,9,7,4,6
7413069,10,7,4,5,3,8,6,9,2,1
7413094,7,1,9,6,8,2,10,3,5,4
7413123,1,5,6,4,3,8,7,9,10,2
7413208,5,8,9,3,7,1,4,2,10,6
7413230,7,6,3,8,2,NA,1,NA,5,4
7413267,6,2,3,8,1,NA,4,NA,5,7
7413277,2,7,3,8,1,NA,6,NA,4,5
7413281,10,9,1,2,4,6,8,5,3,7
