ML3: In-Session Data Spreadsheet: Pacific Lutheran University,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,(II-SR or SR-II),(10 or 20),(1 not at all important - 7 very important),"(A, B, C)",type the day of the week,(1 not at all confident - 5 very confident),"Did the participant answer the 4 true/false questions correctly? Yes, No (how many missed), or N/A (if in condition C)",
27,PacificLutheranUniversity,,10/2/14,Megan/Hannah,74,,,7,B,Friday,5,yes,
28,PacificLutheranUniversity,,10/2/14,Hannah/Megan,74,,,7,B,Friday,4,no (2 missed),Cant used their data/Non-consenting
29,PacificLutheranUniversity,,10/2/14,Hannah,74,,,7,C,Friday,5,NA,
30,PacificLutheranUniversity,,10/3/14,Hannah,76,,,6,C,Friday,3,NA,
31,PacificLutheranUniversity,,10/3/14,Hannah,76,,,7,A,Friday,5,yes,
32,PacificLutheranUniversity,,10/3/14,Hannah,76,,,7,A,Friday,5,yes,
33,PacificLutheranUniversity,,10/3/14,Megan/Hannah,76,,,6,B,Friday,4,yes,
34,PacificLutheranUniversity,,10/3/14,Hannah/Megan,77,,,5,B,Friday,4,yes,
35,PacificLutheranUniversity,,10/6/14,Megan,77,,,7,C,Friday,5,N/A,
36,PacificLutheranUniversity,,10/6/14,Megan,77,,,7,C,Wednesday,5,N/A,
37,PacificLutheranUniversity,,10/6/14,Megan,74,,,7,A,Friday,3,Yes,
38,PacificLutheranUniversity,,10/6/14,Megan,76,,,5,A,Friday,5,Yes,
39,PacificLutheranUniversity,,10/6/14,Hannah,76,,,6,B,Monday,3,yes,
40,PacificLutheranUniversity,,10/6/14,Hannah,76,,,6,B,Monday,4,yes,
41,PacificLutheranUniversity,,10/6/14,Hannah,76,,,6,C,Friday,4,NA,
42,PacificLutheranUniversity,,10/7/14,Hannah,75,,,5,C,Monday,3,NA,
43,PacificLutheranUniversity,,10/7/14,Hannah,75,,,7,A,Monday,5,yes,"Computer issues, Had to start over"
44,PacificLutheranUniversity,,10/7/14,Hannah,74,,,7,A,Friday,4,yes,
45,PacificLutheranUniversity,,10/7/14,Megan/Hannah,74,,,7,B,Monday,5,no (2 missed),"Computer Program character limit, unsure if data recorded"
46,PacificLutheranUniversity,,10/7/14,Hannah/Megan,75,,,6,B,Wednesday,4,no (1 missed),
47,PacificLutheranUniversity,,10/7/14,Megan/Hannah,75,,,6,C,Monday,5,NA,
48,PacificLutheranUniversity,,10/8/14,Hannah/Megan,74,,,7,C,Monday,5,NA,"Computer Program character limit, unsure if data recorded "
49,PacificLutheranUniversity,,10/8/14,Megan/Hannah,74,,,6,A,Monday,5,yes,
50,PacificLutheranUniversity,,10/8/14,Hannah/Megan,74,,,6,A,Monday,5,yes,
51,PacificLutheranUniversity,,10/9/14,Hannah,72,,,5,B,Friday,4,yes,
52,PacificLutheranUniversity,,10/9/14,Hannah,72,,,6,B,Monday,5,no (4 missed),
53,PacificLutheranUniversity,,10/9/14,Hannah,72,,,7,C,Friday,5,NA,
54,PacificLutheranUniversity,,10/9/14,Megan/Hannah,74,,,7,C,Friday,4,NA,
55,PacificLutheranUniversity,,10/9/14,Megan,75,,,6,A,Friday,5,yes,
56,PacificLutheranUniversity,,10/9/14,Hannah/Megan,72,,,6,A,Friday,5,yes,
57,PacificLutheranUniversity,,10/10/14,Megan,78,,,7,B,Friday,5,Yes,
58,PacificLutheranUniversity,,10/10/14,Megan,76,,,7,B,Monday,3,No (4 missed),
59,PacificLutheranUniversity,,10/10/14,Megan,76,,,6,C,Friday,5,N/A,
60,PacificLutheranUniversity,,11/11/14,Hannah,78,,,7,C,Friday,4,N/A,
61,PacificLutheranUniversity,,11/11/14,Hannah,77,,,6,A,Monday,5,yes,
62,PacificLutheranUniversity,,11/11/14,Hannah,78,,,6,A,Friday,5,yes,
63,PacificLutheranUniversity,,11/11/14,Hannah ,72,,,6,B,Friday,4,no (missed one),
64,PacificLutheranUniversity,,11/12/14,Megan,72,,,5,B,Friday,5,no (missed 4),
65,PacificLutheranUniversity,,11/12/14,Megan ,76,,,5,C,Friday ,4,N/A,
66,PacificLutheranUniversity,,11/12/14,Megan ,72,,,6,C,Friday ,5,N/A,
67,PacificLutheranUniversity,,11/12/14,Hannah,71,,,6,A,Friday,4,yes,
68,PacificLutheranUniversity,,11/12/14,Hannah,70,,,7,A,Friday,4,yes,
69,PacificLutheranUniversity,,11/12/14,Hannah,70,,,6,B,Monday,5,yes,
70,PacificLutheranUniversity,,11/12/14,Megan/Hannah,78,,,6,B,Friday,5,no (4 missed),
71,PacificLutheranUniversity,,11/12/14,Hannah/Megan,77,,,6,C,Friday,4,NA,
72,PacificLutheranUniversity,,11/13/14,Megan/Hannah,79,,,6,C,Friday,4,NA,
73,PacificLutheranUniversity,,11/13/14,Megan ,79,,,2,A,Friday ,5,Yes,
74,PacificLutheranUniversity,,11/13/14,Hannah/Megan,76,,,7,A,Friday,5,Yes,
75,PacificLutheranUniversity,,11/13/14,Hannah/Megan ,75,,,7,B,Friday,5,No (missed one),
76,PacificLutheranUniversity,,11/13/14,Hannah,74,,,7,B,Friday,4,yes,
77,PacificLutheranUniversity,,11/13/14,Hannah,74,,,7,C,Friday,4,NA,
78,PacificLutheranUniversity,,11/14/14,Hannah,75,,,6,C,Monday,5,NA,
79,PacificLutheranUniversity,,11/18/14,Hannah,76,,,7,A,Friday,5,yes ,leaned against the wall
80,PacificLutheranUniversity,,11/18/14,Hannah,76,,,3,A,Monday,4,yes,
81,PacificLutheranUniversity,,11/18/14,Hannah/Megan,74,,,6,B,Monday,4,Yes,
82,PacificLutheranUniversity,,11/19/14,Hannah,76,,,6,B,Friday,5,No (missed 4),
83,PacificLutheranUniversity,,11/19/14,Hannah,76,,,4,C,Friday,5,NA,
84,PacificLutheranUniversity,,11/19/14,Hannah,76,,,6,C,Friday,5,NA,
85,PacificLutheranUniversity,,11/19/14,Megan/Hannah,80,,,7,A,Friday,4,No (missed 1),
86,PacificLutheranUniversity,,11/19/14,Hannah/Megan,80,,,7,A,Friday,3,Yes,
87,PacificLutheranUniversity,,11/19/14,Megan/Hannah,76,,,7,B,Friday,4,no (2 missed),
88,PacificLutheranUniversity,,11/24/14,Hannah/Megan,79,,,6,B,Friday,3,No (2 missed),
89,PacificLutheranUniversity,,11/24/14,Megan/Hannah,79,,,7,C,Friday,5,NA,
90,PacificLutheranUniversity,,11/24/14,Hannah/Megan ,76,,,7,C,Friday,5,NA,
91,PacificLutheranUniversity,,11/25/14,Hannah,81,,,6,A,Friday,5,Yes,
92,PacificLutheranUniversity,,11/25/14,Hannah,79,,,7,A,Thursday,3,Yes,Leaning 
93,PacificLutheranUniversity,,12/1/14,Megan/Hannah ,72,,,6,B,Friday,4,No (4 missed),
94,PacificLutheranUniversity,,12/1/14,Hannah/Megan,79,,,6,B,Friday,4,no (4 missed),
95,PacificLutheranUniversity,,12/2/14,Hannah,68,,,6,C,Monday,5,NA,
96,PacificLutheranUniversity,,12/2/14,Hannah,76,,,5,C,Friday,5,NA,
97,PacificLutheranUniversity,,12/2/14,Hannah,76,,,7,A,Friday,4,Yes,
98,PacificLutheranUniversity,,12/2/14,Hannah,77,,,5,A,Monday,5,Yes,
99,PacificLutheranUniversity,,12/2/14,Hannah,78,,,7,B,Friday,5,Yes,
100,PacificLutheranUniversity,,12/2/14,Megan/Hannah,72,,,6,B,Monday,5,Yes,
101,PacificLutheranUniversity,,12/2/14,Hannah/Megan,76,,,7,C,Friday,5,NA,
102,PacificLutheranUniversity,,12/2/14,Megan/Hannah,78,,,7,C,Friday,5,Yes,Should be a C not B
103,PacificLutheranUniversity,,12/2/14,Hannah/Megan,79,,,7,A,Friday,4,Yes,
104,PacificLutheranUniversity,,12/3/14,Hannah,74,,,7,A,Saturday ,4,Yes,
105,PacificLutheranUniversity,,12/3/14,Hannah,74,,,7,B,Friday,5,No (1 missed),
106,PacificLutheranUniversity,,12/3/14,Hannah,78,,,6,B,Friday,3,Yes,
107,PacificLutheranUniversity,,12/3/14,Megan/Hannah,80,,,7,C,Friday,5,NA,
108,PacificLutheranUniversity,,12/3/14,Hannah/Megan,80,,,7,C,Monday,5,NA,
109,PacificLutheranUniversity,,12/3/14,Megan/Hannah,79,,,6,A,Friday,5,Yes,
110,PacificLutheranUniversity,,12/3/14,Megan/Hannah,79,,,7,A,Monday,5,Yes,
111,PacificLutheranUniversity,,12/3/14,Hannah/Megan,78,,,7,B,Friday,5,,
