ML3: In-Session Data Spreadsheet: Montana State University,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,(II-SR or SR-II),(10 or 20),(1 not at all important - 7 very important),"(A, B, C)",type the day of the week,(1 not at all confident - 5 very confident),"Did the participant answer the 4 true/false questions correctly? Yes, No (how many missed), or N/A (if in condition C)",
30,MontanaStateUniversity,4,9/29/14,Lizzie S.,72,"II, SR",20,6,C,Monday,3,n/a,none
31,MontanaStateUniversity,1,9/29/14,Lizzie S.,72,"SR, II",10,6,A,Monday,2,yes,
32,MontanaStateUniversity,1,9/29/14,Lizzie S.,71,"SR, II",20,7,A,Friday,5,yes,Participant asked if she should go back to computer. I said she was fine where she was. 
33,MontanaStateUniversity,4,9/29/14,Lizzie S.,71,"II, SR",10,5,B,Friday,5,no,
34,MontanaStateUniversity,1,10/1/14,Jessica S.,71,"II, SR",20,7,B,Monday,5,yes,
35,MontanaStateUniversity,1,10/1/14,Cassandra P.,71,"SR, II",10,6,C,Friday,3,n/a,"packet was numbered at bottom, I'm assuming that a part didn't show up on prev study. I don't believe that form was previously filled out, but I am not positive."
36,MontanaStateUniversity,4,10/1/14,Cassandra P.,71,"SR, II",20,6,C,Friday,5,n/a,none
37,MontanaStateUniversity,3,10/1/14,Cassandra P.,71,"II, SR",10,7,A,Friday,5,yes,"Participant received the Deception Studies Consent After Debreifing Changes form at the beginning of the study and not the informed consent form. Participant brought this to my attn after she had read it. I quickly switched out the forms. Unfortunately, she had read it already."
38,MontanaStateUniversity,1,10/2/14,Katie L.,71,"II, SR",20,5,A,Friday,5,yes,leaned against the wall
39,MontanaStateUniversity,4,10/2/14,katie L.,71,"SR, II",10,1,B,Friday,5,yes,
40,MontanaStateUniversity,4,10/2/14,Mari S. ,68,"SR, II",20,7,B,Monday ,5,yes,none
41,MontanaStateUniversity,3,10/2/14,Mari S. ,68,"II, SR",10,6,C,Monday ,4,n/a,"leaned against the table, took paper out of the clipboard to do survey"
42,MontanaStateUniversity,1,10/2/14,Mari S. ,68,"II, SR",20,6,C,Friday ,5,n/a,
43,MontanaStateUniversity,4,10/3/14,Lizzie S.,70,"SR, II",10,3,A,Friday,5,yes,Asked if he should sit. I told him he was fine where he was. 
44,MontanaStateUniversity,1,10/3/14,Lizzie S.,70,"SR, II",20,7,A,Friday,5,yes,Participant placed clipboard on desk but continued to stand. Lifted clipboard off desk and stood for last page.
45,MontanaStateUniversity,2,10/3/14,Lizzie S.,70,"II, SR",10,6,B,Monday,5,no,"Error with computer 5 minutes into study, restarted Many Labs program and it worked fine after that."
46,MontanaStateUniversity,2,10/3/14,Lizzie S.,72,"II, SR",20,7,B,Friday ,5,yes,"Major computer problems-internet was down and then program was not working/uploading. After 15 minutes, program ran and study started. Once study started there were no problems with computer. Participant rested clipboard on desk."
47,MontanaStateUniversity,1,10/3/14,Lizzie S.,72,"SR, II",10,6,C,Friday,5,n/a,"Major computer problems-internet was down and then program was not working/uploading. After 15 minutes, program ran and study started. Once study started there were no problems with computer. Participant pulled out chair and sat at the desk during face-to-face survey."
48,MontanaStateUniversity,1,10/6/14,Katie L.,71,"SR, II",20,7,C,Friday,5,n/a,"Packet was missing a page, computer froze midway through study and participant was unable to continue with the study. Debriefing was done, and deception l;etter was still signed off on "
49,MontanaStateUniversity,2,10/6/14,Katie L.,71,"II, SR",10,7,A,Friday,5,yes,
50,MontanaStateUniversity,4,10/6/14,Lizzie S.,74,"II, SR",20,5,A,Friday,4,yes,Computer error-page did not load after ID input
51,MontanaStateUniversity,1,10/6/14,Lizzie S.,74,"SR, II",10,6,B,Friday,4,yes,Computer error-page did not load after ID input
52,MontanaStateUniversity,3,10/6/14,Lizzie S.,74,"SR, II",20,7,B,Monday,5,no,"Computer error-page did not load after ID input. Computer froze on red,blue,green task so I refreshed page. Computer went to word scramble."
53,MontanaStateUniversity,3,10/6/14,Lizzie S.,75,"II, SR",10,6,C,Friday,5,n/a,Computer error-page did not load after ID input. Computer 2 froze so I moved participant to computer 3. Participant leaned against wall during face-to-face.
54,MontanaStateUniversity,4,10/6/14,Lizzie S.,75,"II, SR",20,5,C,Friday,5,n/a,Computer error-page did not load after ID input. Participant asked if he should stand. I told him he was fine where he was. 
55,MontanaStateUniversity,DO NOT USE DATA,,,,"SR, II",10,,,,,,
56,MontanaStateUniversity,1,10/8/14,Jessica,78,"SR, II",20,6,A,Friday,5,no,error message on computer at end
57,MontanaStateUniversity,3,10/8/14,Jessica,78,"II, SR",10,6,B,Friday,5,yes,error message on computer at end
58,MontanaStateUniversity,2,10/8/14,Jessica,78,"II, SR",20,6,B,Monday,3,yes,"leaned against doorway, error message at end"
59,MontanaStateUniversity,2,10/8/14,Cassandra P.,78,"SR, II",10,6,C,Friday,5,n/a,Squirrel ran in ceiling
60,MontanaStateUniversity,1,10/8/14,Cassandra P.,78,"SR, II",20,5,C,Friday,4,n/a,"Squirrel ran in ceiling, error message at end"
61,MontanaStateUniversity,3,10/8/14,Cassandra P.,78,"II, SR",10,6,A,Friday,5,yes,"Squirrel ran in ceiling, error message at end"
62,MontanaStateUniversity,1,10/9/14,Mari S.,78,"II, SR",20,7,A,Friday,5,yes ,"squirrel ran, leaned (slightly) against table "
63,MontanaStateUniversity,4,10/9/14,Mari S.,78,"SR, II",10,6,B,Friday ,5,no,"squirrel ran, tried to go into the office and sit down, but went back into room and stood while taking surveys "
64,MontanaStateUniversity,1,10/10/14,Lizzie S.,78,"SR, II",20,5,B,Friday,5,yes ,"placed clipboard on the big desk, computer error after ID input"
65,MontanaStateUniversity,4,10/10/14,Lizzie S.,78,"II, SR",10,6,C,Friday,5,n/a,"Participant sat at big desk, computer error after ID input"
66,MontanaStateUniversity,2,10/10/14,Lizzie S.,80,"II, SR",20,6,C,Wednesday ,5,n/a,
67,MontanaStateUniversity,1,10/10/14,Lizzie S.,80,"SR, II",10,7,A,Friday,5,yes ,computer error after ID input
68,MontanaStateUniversity,3,10/10/14,Lizzie S.,80,"SR, II",20,7,A,Monday,5,yes ,computer error after ID input
69,MontanaStateUniversity,1,10/27/14,Lizzie S.,74,"II, SR",10,7,B,Monday,5,yes ,
70,MontanaStateUniversity,DO NOT USE DATA,,,,"II, SR",20,,,,,,
71,MontanaStateUniversity,3,10/27/14,Lizzie S.,74,"SR, II",10,6,C,Friday ,5,n/a,computer error after ID input
72,MontanaStateUniversity,1,10/27/14,Evan ,74,"SR, II",20,6,C,Monday,5,n/a,leaned on desk
73,MontanaStateUniversity,3,10/27/14,Evan ,74,"II, SR",10,7,A,Friday ,5,no,
74,MontanaStateUniversity,4,10/27/14,Evan ,74,"II, SR",20,7,A,Friday ,5,yes,
75,MontanaStateUniversity,1,10/28/14,Evan ,74,"SR, II",10,6,B,Monday,4,yes,
76,MontanaStateUniversity,3,10/28/14,Evan ,74,"SR, II",20,6,B,Monday,5,yes,
77,MontanaStateUniversity,4,10/28/14,Evan ,74,"II, SR",10,6,C,Monday,4,n/a,
78,MontanaStateUniversity,4,10/28/14,Cass,76,"II, SR",20,7,C,Friday ,5,n/a,
79,MontanaStateUniversity,1,10/28/14,Cass,76,"SR, II",10,6,A,Friday ,5,yes,
80,MontanaStateUniversity,3,10/28/14,Cass,76,"SR, II",20,6,A,Friday ,5,yes,
81,MontanaStateUniversity,3,10/29/14,Katie,76,"II, SR",10,7,B,Friday ,5,no,
82,MontanaStateUniversity,4,10/29/14,Katie,76,"II, SR",20,6,B,Monday,5,yes,
83,MontanaStateUniversity,1,10/29/14,Katie,76,"SR, II",10,7,C,Friday ,5,n/a,
84,MontanaStateUniversity,4,10/29/14,Kelsie,76,"SR, II",20,6,C,Friday ,3,n/a,"leaned on archway, when hit continue it came up all garbled, restarted "
85,MontanaStateUniversity,1,10/29/14,Kelsie,76,"II, SR",10,7,A,Friday ,5,no,"leaned on wall, when hit continue it came up all garbled, restarted"
86,MontanaStateUniversity,3,10/29/14,Kelsie,76,"II, SR",20,7,A,Friday ,5,yes,"when hit continue it came up all garbled, restarted"
87,MontanaStateUniversity,1,10/29/14,Cass,78,"SR, II",10,7,B,Friday ,5,yes,"When they hit continue the first time, comp errored out. Had to restart session"
88,MontanaStateUniversity,3,10/29/14,Cass,78,"SR, II",20,6,B,Friday ,4,yes,"When they hit continue the first time, comp errored out. Had to restart session"
89,MontanaStateUniversity,1,10/30/14,Mari ,72,"II, SR",10,5,C,Friday ,4,n/a,
90,MontanaStateUniversity,3,10/30/14,Mari ,72,"II, SR",20,7,C,Monday ,5,n/a,came up to me and told me number pad wasnt working for distractor task (it was on number lock). Tried to leave before debriefing 
91,MontanaStateUniversity,4,10/30/14,Mari ,72,"SR, II",10,6,A,Monday ,5,yes , 
92,MontanaStateUniversity,1,10/30/14,Mari ,74,"SR, II",20,2,A,Friday ,5,yes,"Error in beginning had to restart program,had to call him back to take the survey, started to leave once he found me "
93,MontanaStateUniversity,4,10/30/14,Mari ,74,"II, SR",10,6,B,Friday ,5,yes ,Error in beginning had to restart program 
94,MontanaStateUniversity,3,10/30/14,Mari ,74,"II, SR",20,5,B,Friday ,5,no,"Error in beginning had to restart program, skipped the part to come find me, so I asked him to come see me and do the surveys and then go back to his seet and wait until the other particpants were finished. Also sat down to do surveys "
95,MontanaStateUniversity,1,10/30/14,Kelsie,76,"SR, II",10,6,C,Friday ,5,n/a,
96,MontanaStateUniversity,4,10/30/14,Kelsie,76,"SR, II",20,6,C,Monday,2,n/a,Sat down
97,MontanaStateUniversity,1,10/31/14,Lizzie S.,76,"II, SR",10,6,A,Monday ,5,yes,sat at the big desk
98,MontanaStateUniversity,3,10/31/14,Lizzie S.,76,"II, SR",20,6,A,Friday ,4,yes,
99,MontanaStateUniversity,1,10/31/14,Jessica,76,"SR, II",10,7,B,Friday ,5,yes,
100,MontanaStateUniversity,1,11/3/14,Jessica,72,"SR, II",20,7,B,Friday ,5,yes,
101,MontanaStateUniversity,3,11/3/14,Jessica,72,"II, SR",10,6,C,Friday ,5,n/a,
102,MontanaStateUniversity,4,11/3/14,Jessica,72,"II, SR",20,6,C,Friday ,5,n/a,leaned against wall
103,MontanaStateUniversity,1,11/3/14,Evan ,73,"SR, II",10,6,A,Friday ,4,yes,
104,MontanaStateUniversity,2,11/3/14,Evan ,73,"SR, II",20,6,A,Monday,4,yes,
105,MontanaStateUniversity,4,11/3/14,Evan ,73,"II, SR",10,7,B,monday ,3,yes,Sat down
106,MontanaStateUniversity,1,11/5/14,Katie,76,"II, SR",20,6,b,Monday,5,yes,leaned
107,MontanaStateUniversity,3,11/5/14,Katie,76,"SR, II",10,7,c,Friday ,5,no,leaned
108,MontanaStateUniversity,4,11/5/14,Katie,76,"SR, II",20,6,c,Monday,5,yes,
109,MontanaStateUniversity,4,11/5/14,Kelsie,76,"II, SR",10,5,A,Friday,4,yes,
110,MontanaStateUniversity,3,11/5/14,Kelsie,76,"II, SR",20,6,A,Monday,5,yes,"leaned on wall, mouse battery died"
111,MontanaStateUniversity,4,11/5/14,Cass,76å¼,"SR, II",10,7,B,Monday,5,no,
112,MontanaStateUniversity,3,11/5/14,Cass,76å¼,"SR, II",20,6,B,Friday,4,yes,
113,MontanaStateUniversity,1,11/5/14,Cass,76å¼,"II, SR",10,7,C,Monday,5,n/a,
114,MontanaStateUniversity,1,11/6/14,Katie,76,"II, SR",20,7,C,Friday,5,n/a,"rushed through, made the other participant feel rushed- or at least thats how it looked."
115,MontanaStateUniversity,4,11/6/14,Katie,76,"SR, II",10,6,A,Thursday,5,n/a,
116,MontanaStateUniversity,4,11/6/14,Mari ,74,"SR, II",20,6,A,Friday ,5,yes ,"particpant tried to leave after he met me at the door, had to call him back. "
117,MontanaStateUniversity,1,11/6/14,Mari ,74,"II, SR",10,7,B,Friday ,5,yes ,
118,MontanaStateUniversity,3,11/6/14,Mari ,74,"II, SR",20,5,B,Monday,5,yes,Sat on table to do surveys 
119,MontanaStateUniversity,3,11/6/14,Kelsie,75,"SR, II",10,6,C,Friday,4,n/a,
120,MontanaStateUniversity,1,11/6/14,Kelsie,75,"SR, II",20,6,C,Friday ,5,n/a,
121,MontanaStateUniversity,3,11/7/14,Jessica,77,"II, SR",10,7,A,Friday,5,no,
122,MontanaStateUniversity,1,11/7/14,Jessica,77,"II, SR",20,7,A,Friday,5,yes,
123,MontanaStateUniversity,4,11/7/14,Jessica,77,"SR, II",10,6,B,Friday,5,no,
124,MontanaStateUniversity,1,12/1/14,Lizzie S.,69,"SR, II",20,6,B,Monday ,5,no,Sat at the table
125,MontanaStateUniversity,4,12/1/14,Lizzie S.,69,"II, SR",10,6,C,Friday,5,n/a,Placed clipboard on table
126,MontanaStateUniversity,3,12/1/14,Lizzie S.,69,"II, SR",20,6,C,Friday,5,n/a,
127,MontanaStateUniversity,3,12/2/14,Cass,69å¼,"SR, II",10,7,A,Friday,3,yes,Had people occupying the office while participants came up to do surveys. It was louder than normal.
128,MontanaStateUniversity,4,12/2/14,Cass,69å¼,"SR, II",20,5,A,Friday,4,yes,Had people occupying the office while participants came up to do surveys. It was louder than normal.
129,MontanaStateUniversity,1,12/2/14,Cass,69å¼,"II, SR",10,5,B,Friday,5,no,Had people occupying the office while participants came up to do surveys. It was louder than normal.
130,MontanaStateUniversity,4,12/3/14,Jessica,68,"II, SR",20,6,B,Friday,5,yes,
131,MontanaStateUniversity,1,12/3/14,Jessica,68,"SR, II",10,,C,Friday,3,n/a,
132,MontanaStateUniversity,3,12/3/14,Jessica,68,"SR, II",20,6,C,Friday,5,,
133,MontanaStateUniversity,3,12/3/14,Kelsie,68,"II, SR",10,6,A,Monday,3,Yes,No consent forms so we started late because I had to go copy them
134,MontanaStateUniversity,4,12/3/14,Kelsie,68,"II, SR",20,6,A,Friday,5,Yes,No consent forms so we started late because I had to go copy them
135,MontanaStateUniversity,1,12/3/14,Kelsie,68,"SR, II",10,7,B,Monday,3,Yes,No consent forms so we started late because I had to go copy them
