ML3: In-Session Data Spreadsheet: Penn State Abington,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,(II-SR or SR-II),(10 or 20),(1 not at all important - 7 very important),"(A, B, C)",type the day of the week,(1 not at all confident - 5 very confident),"Did the participant answer the 4 true/false questions correctly? Yes, No (how many missed), or N/A (if in condition C)",
27,PennStateAbington,B1,9/9/14,JMM,70,SR-II,10,7,B,Monday,4,Yes,
28,PennStateAbington,E1,9/9/14,JMM,69,SR-II,20,7,B,Saturday,4,No (Missed 2),
29,PennStateAbington,B1,9/9/14,JMM,70,II-SR,10,5,C,Monday,5,NA,
30,PennStateAbington,B1,9/9/14,JMM,70,II-SR,20,7,C,Saturday,3,NA,
31,PennStateAbington,B1,9/9/14,MA,70,SR-II,10,7,A,Friday,5,Yes,
32,PennStateAbington,E1,9/11/14,MA,70,SR-II,20,2,A,Friday,4,Yes,
33,PennStateAbington,B1,9/11/14,MA,70,II-SR,10,6,B,Monday,5,Yes,
34,PennStateAbington,E1,9/11/14,MA,70,II-SR,20,6,B,Friday,5,Yes,
35,PennStateAbington,E1,9/16/14,MA,71,SR-II,10,5,C,Monday,4,NA,
36,PennStateAbington,B1,9/16/14,MA,69,SR-II,20,7,C,Monday,5,NA,
37,PennStateAbington,B1,9/16/14,MA,69,II-SR,10,7,A,Monday,4,Yes,
38,PennStateAbington,E1,9/16/14,MA,68,II-SR,20,6,A,Friday,3,Yes,
39,PennStateAbington,B1,9/16/14,MA,70,SR-II,10,2,B,Friday,4,No (Missed 2),
40,PennStateAbington,E1,9/16/14,MA,68,SR-II,20,7,B,Friday,5,No (Missed 1),
41,PennStateAbington,B1,9/16/14,MA,70,II-SR,10,7,C,Monday,3,NA,
42,PennStateAbington,E1,9/16/14,MA,70,II-SR,20,7,C,Saturday,4,NA,
43,PennStateAbington,B1,9/16/14,MA,70,SR-II,10,5,A,Monday,3,No (Missed 2),
44,PennStateAbington,B1,9/16/14,MA,70,SR-II,20,7,A,Friday,5,Yes,
45,PennStateAbington,B1,9/16/14,JMM,70,II-SR,10,6,B,Friday,5,No (Missed 1),
46,PennStateAbington,E1,9/16/14,JMM,70,II-SR,20,6,B,Friday,2,Yes,
47,PennStateAbington,B1,9/16/14,JMM,71,SR-II,10,6,C,Saturday,3,NA,
48,PennStateAbington,E1,9/16/14,JMM,70,SR-II,20,7,C,Friday,4,NA,
49,PennStateAbington,E1,9/16/14,JMM,70,II-SR,10,7,A,Friday,3,Yes,
50,PennStateAbington,B1,9/16/14,JMM,70,II-SR,20,7,A,Monday,4,Yes,
51,PennStateAbington,B1,9/16/14,JMM,70,SR-II,10,3,B,Friday,5,No (Missed 3),
52,PennStateAbington,E1,9/18/14,MA,72,SR-II,20,6,B,Friday,3,No (Missed 2),
53,PennStateAbington,B1,9/18/14,MA,72,II-SR,10,7,C,Friday,5,NA,
54,PennStateAbington,E1,9/22/14,MA,68,II-SR,20,6,C,Monday,4,NA,
55,PennStateAbington,B1,9/22/14,MA,70,SR-II,10,,A,Friday,5,Yes,
56,PennStateAbington,B1,9/22/14,MA,70,SR-II,20,7,A,Saturday,4,Yes,
57,PennStateAbington,E1,9/22/14,MA,68,II-SR,10,6,B,Saturday,4,Yes,
58,PennStateAbington,E1,9/23/14,MJB,68,II-SR,20,7,B,Saturday,4,No (Missed 1),
59,PennStateAbington,B1,9/23/14,MA,70,SR-II,10,3,C,Monday,1,NA,
60,PennStateAbington,E1,9/23/14,MA,70,SR-II,20,7,C,Friday,5,NA,
61,PennStateAbington,B1,9/23/14,MA,70,II-SR,10,7,A,Friday,5,Yes,"Received 20 Clipboard, not 10 Clipboard"
62,PennStateAbington,E1,9/23/14,MA,70,II-SR,20,6,A,Friday,4,Yes,"Received 10 Clipboard, not 20 Clipboard"
63,PennStateAbington,E1,9/23/14,MJB,70,SR-II,10,6,B,Friday,5,Yes,
64,PennStateAbington,B1,9/23/14,MJB,69,SR-II,20,5,B,Friday,5,Yes,
65,PennStateAbington,B1,9/23/14,MJB,69,II-SR,10,5,C,Friday,4,NA,
66,PennStateAbington,B1,9/23/14,MJB,70,II-SR,20,7,C,Friday,5,NA,
67,PennStateAbington,E1,9/23/14,MA,66,SR-II,10,7,A,Friday,5,Yes,
68,PennStateAbington,B1,9/23/14,MA,70,SR-II,20,6,A,Friday,5,No (Missed 2),
69,PennStateAbington,E1,9/23/14,MA,68,II-SR,10,6,B,Friday,5,Yes,
70,PennStateAbington,E1,9/23/14,JMM,68,II-SR,20,7,B,Friday,5,Yes,
71,PennStateAbington,B1,9/23/14,JMM,68,SR-II,10,6,C,Monday,5,NA,
72,PennStateAbington,E1,9/23/14,JMM,68,SR-II,20,1,C,Monday,4,NA,
73,PennStateAbington,E1,9/23/14,JMM,68,II-SR,10,7,A,Friday,4,Yes,
74,PennStateAbington,B1,9/23/14,JMM,68,II-SR,20,6,A,Monday,5,Yes,
75,PennStateAbington,E1,9/25/14,MA,70,SR-II,10,5,B,Friday,4,Yes,
76,PennStateAbington,B1,9/25/14,MA,70,SR-II,20,6,B,Monday,5,No (Missed 3),
77,PennStateAbington,E1,9/25/14,MA,70,II-SR,10,7,C,Monday,4,NA,
78,PennStateAbington,B1,9/25/14,MA,70,II-SR,20,7,C,Friday,5,NA,
79,PennStateAbington,E1,9/25/14,MA,70,SR-II,10,7,A,Friday,5,Yes,
80,PennStateAbington,E1,10/8/14,MA,68,SR-II,20,7,A,Friday,5,Yes,
81,PennStateAbington,B1,11/18/14,JMM,70,II-SR,10,6,B,Monday,5,Yes,
82,PennStateAbington,E1,11/18/14,JMM,70,II-SR,20,7,B,Monday,5,No (Missed 1),
83,PennStateAbington,B1,11/18/14,JMM,69,SR-II,10,7,C,Monday,5,NA,
84,PennStateAbington,E1,11/18/14,JMM,69,SR-II,20,6,C,Monday,3,NA,
85,PennStateAbington,E1,12/1/14,MA,69,II-SR,20,7,A,Monday,5,Yes,
86,PennStateAbington,B1,12/1/14,MA,69,SR-II,10,6,B,Friday,4,Yes,
87,PennStateAbington,E1,12/1/14,MA,70,SR-II,20,6,B,Friday,5,No (Missed 2),
88,PennStateAbington,B1,12/1/14,MA,70,II-SR,10,7,C,Monday,4,NA,
89,PennStateAbington,E1,12/1/14,MA,70,II-SR,20,6,C,Friday,5,NA,
90,PennStateAbington,E1,12/1/14,MA,71,SR-II,10,6,A,Friday,5,Yes,
91,PennStateAbington,E1,12/2/14,JMM,71,SR-II,20,7,A,Friday,5,Yes,
92,PennStateAbington,B1,12/2/14,JMM,70,II-SR,10,6,B,Friday,5,Yes,
93,PennStateAbington,E1,12/2/14,JMM,70,II-SR,20,6,B,Monday,5,No (Missed 4),
94,PennStateAbington,B1,12/2/14,JMM,70,SR-II,10,6,C,Friday,4,NA,
95,PennStateAbington,E1,12/2/14,JMM,70,SR-II,20,7,C,Friday,3,NA,
96,PennStateAbington,B1,12/2/14,JMM,69,II-SR,10,6,A,Friday,5,No (Missed 1),
97,PennStateAbington,E1,12/4/14,MA,69,II-SR,20,6,A,Friday,4,Yes,
98,PennStateAbington,B1,12/4/14,MJB,,,,,,,,,
99,PennStateAbington,E1,12/8/14,MJB,70,SR-II,20,4,B,Monday,2,Yes,
100,PennStateAbington,E1,12/8/14,MJB,70,SR-II,10,7,B,Friday,5,No (Missed 2),
101,PennStateAbington,B1,12/8/14,MJB,69,II-SR,10,7,C,Friday,4,NA,
102,PennStateAbington,B1,12/9/14,MJB,69,II-SR,20,5,C,Monday,3,NA,
103,PennStateAbington,,,,,,,,,,,,
104,PennStateAbington,E1,12/9/14,MJB,70,SR-II,10,,A,,,Yes,
105,PennStateAbington,E1,12/9/14,MA,69,SR-II,20,7,A,Friday,5,No (Missed 2),
106,PennStateAbington,B1,12/9/14,MA,69,II-SR,10,5,B,Monday,3,Yes,
107,PennStateAbington,E1,12/9/14,MA,69,II-SR,20,5,B,Monday,5,No (Missed 1),
108,PennStateAbington,E1,12/10/14,JMM,68,SR-II,10,6,C,Friday,5,NA,
109,PennStateAbington,B1,12/10/14,JMM,68,SR-II,20,4,C,Friday,5,NA,
110,PennStateAbington,E1,12/10/14,JMM,68,II-SR,10,3,A,Friday,5,Yes,
111,PennStateAbington,E1,12/10/14,JMM,68,II-SR,20,5,A,Friday,5,Yes,
112,PennStateAbington,E1,12/10/14,JMM,68,SR-II,10,7,B,Friday,5,Yes,
113,PennStateAbington,B1,12/11/14,MA,69,SR-II,20,6,B,Friday,5,Yes,
114,PennStateAbington,E1,12/11/14,MA,69,II-SR,10,7,C,Friday,4,NA,
115,PennStateAbington,B1,12/11/14,MA,69,II-SR,20,7,C,Friday,4,NA,
116,PennStateAbington,E1,12/11/14,MA,68,SR-II,10,7,A,Monday,5,Yes,
117,PennStateAbington,E1,12/11/14,JMM,68,SR-II,20,7,A,Saturday,5,Yes,
118,PennStateAbington,B1,12/11/14,JMM,68,II-SR,10,6,B,Friday,4,No (Missed 2),
119,PennStateAbington,B1,12/11/14,JMM,69,II-SR,20,7,B,Friday,4,No (Missed 3),
120,PennStateAbington,E1,12/11/14,JMM,69,SR-II,10,6,C,Friday,5,NA,
121,PennStateAbington,B1,12/11/14,JMM,69,SR-II,20,6,C,Friday,3,NA,
